rank,team,defense_tackles_for_loss,defense_sacks,defense_qb_hits,defense_interceptions,defense_fumble_recoveries,defense_safeties,defense_touchdowns,defense_return_touchdowns,defense_points_allowed,fantasy_points
1,Kansas City Chiefs,69,48,73,21,15,0,7,4,305,205.0
2,Seattle Seahawks,70,43,98,28,10,2,4,0,231,192.0
3,Carolina Panthers,92,59,99,20,10,0,4,0,241,188.0
4,Cincinnati Bengals,66,43,101,20,11,0,6,1,305,168.0
5,Arizona Cardinals,92,47,110,20,10,2,5,0,324,165.0
6,San Francisco 49ers,72,37,79,18,11,1,5,0,272,160.0
7,St. Louis Rams,100,53,90,14,15,1,5,1,364,155.0
8,New England Patriots,69,47,93,17,12,0,3,0,338,140.0
9,Buffalo Bills,98,56,94,23,6,0,3,0,388,135.0
10,Indianapolis Colts,60,41,81,15,12,2,1,1,336,126.0
11,Tampa Bay Buccaneers,87,35,82,21,10,1,3,0,389,122.0
12,Denver Broncos,94,41,85,17,9,0,2,3,399,121.0
13,Dallas Cowboys,70,34,63,15,13,0,5,1,432,120.0
14,Philadelphia Eagles,73,37,52,19,12,2,2,0,382,120.0
15,Baltimore Ravens,76,40,80,16,7,0,1,2,352,118.0
16,Miami Dolphins,68,41,84,18,6,1,2,0,335,116.0
17,Pittsburgh Steelers,60,35,65,10,10,1,3,1,370,113.0
18,Chicago Bears,64,32,45,19,9,0,6,1,478,112.0
19,Cleveland Browns,65,40,79,14,7,0,4,1,406,111.0
20,New York Giants,73,33,83,17,12,0,2,1,383,110.0
21,Tennessee Titans,68,36,69,13,12,0,3,0,381,108.0
22,Detroit Lions,77,33,82,15,7,2,2,2,376,107.0
23,New Orleans Saints,78,49,95,12,7,0,0,0,304,106.0
24,Green Bay Packers,80,44,61,11,11,0,2,1,428,100.0
25,Washington Redskins,77,36,69,16,9,0,5,0,478,99.0
26,Oakland Raiders,84,39,71,9,13,0,3,1,453,95.0
27,Minnesota Vikings,84,42,84,12,8,0,1,3,480,90.0
28,San Diego Chargers,64,34,55,11,7,0,1,0,348,88.0
29,New York Jets,83,40,80,13,2,1,1,1,387,87.0
30,Atlanta Falcons,59,32,56,10,11,0,3,0,443,83.0
31,Jacksonville Jaguars,58,31,71,11,10,3,2,0,449,81.0
32,Houston Texans,71,31,103,7,4,1,1,1,428,60.0
