rank,name,team_abbreviation,position,defense_tackles_for_loss,defense_sacks,defense_qb_hits,defense_interceptions,defense_fumble_recoveries,defense_safeties,defense_touchdowns,defense_return_touchdowns,defense_points_allowed,fantasy_points
1,Kansas City Chiefs,KC,DST,69,48,73,21,15,0,7,4,305,205
2,Seattle Seahawks,SEA,DST,70,43,98,28,10,2,4,0,231,192
3,Carolina Panthers,CAR,DST,92,59,99,20,10,0,4,0,241,188
4,Cincinnati Bengals,CIN,DST,66,43,101,20,11,0,6,1,305,168
5,Arizona Cardinals,ARI,DST,92,47,110,20,10,2,5,0,324,165
6,San Francisco 49ers,SF,DST,72,37,79,18,11,1,5,0,272,160
7,St. Louis Rams,STL,DST,100,53,90,14,15,1,5,1,364,155
8,New England Patriots,NE,DST,69,47,93,17,12,0,3,0,338,140
9,Buffalo Bills,BUF,DST,98,56,94,23,6,0,3,0,388,135
10,Indianapolis Colts,IND,DST,60,41,81,15,12,2,1,1,336,126
11,Tampa Bay Buccaneers,TB,DST,87,35,82,21,10,1,3,0,389,122
12,Denver Broncos,DEN,DST,94,41,85,17,9,0,2,3,399,121
13,Dallas Cowboys,DAL,DST,70,34,63,15,13,0,5,1,432,120
14,Philadelphia Eagles,PHI,DST,73,37,52,19,12,2,2,0,382,120
15,Baltimore Ravens,BAL,DST,76,40,80,16,7,0,1,2,352,118
16,Miami Dolphins,MIA,DST,68,41,84,18,6,1,2,0,335,116
17,Pittsburgh Steelers,PIT,DST,60,35,65,10,10,1,3,1,370,113
18,Chicago Bears,CHI,DST,64,32,45,19,9,0,6,1,478,112
19,Cleveland Browns,CLE,DST,65,40,79,14,7,0,4,1,406,111
20,New York Giants,NYG,DST,73,33,83,17,12,0,2,1,383,110
21,Tennessee Titans,TEN,DST,68,36,69,13,12,0,3,0,381,108
22,Detroit Lions,DET,DST,77,33,82,15,7,2,2,2,376,107
23,New Orleans Saints,NO,DST,78,49,95,12,7,0,0,0,304,106
24,Green Bay Packers,GB,DST,80,44,61,11,11,0,2,1,428,100
25,Washington Redskins,WAS,DST,77,36,69,16,9,0,5,0,478,99
26,Oakland Raiders,OAK,DST,84,39,71,9,13,0,3,1,453,95
27,Minnesota Vikings,MIN,DST,84,42,84,12,8,0,1,3,480,90
28,San Diego Chargers,SD,DST,64,34,55,11,7,0,1,0,348,88
29,New York Jets,NYJ,DST,83,40,80,13,2,1,1,1,387,87
30,Atlanta Falcons,ATL,DST,59,32,56,10,11,0,3,0,443,83
31,Jacksonville Jaguars,JAC,DST,58,31,71,11,10,3,2,0,449,81
32,Houston Texans,HOU,DST,71,31,103,7,4,1,1,1,428,60
