rank,name,team_abbreviation,position,field_goals_made,field_goals_attempts,field_goals_percent,field_goals_long,extra_points_made,extra_points_attempts,fantasy_points
1,Stephen Gostkowski,NE,K,38,41,92.7,54,44,44,158
2,Matt Prater,DEN,K,25,26,96.2,64,75,75,150
3,Nick Novak,SD,K,34,37,91.9,50,42,42,144
4,Steven Hauschka,SEA,K,33,35,94.3,53,44,44,143
5,Mason Crosby,GB,K,33,37,89.2,57,42,42,141
6,Phil Dawson,SF,K,32,36,88.9,56,44,44,140
7,Justin Tucker,BAL,K,38,41,92.7,61,26,26,140
8,Adam Vinatieri,IND,K,35,40,87.5,52,34,34,139
9,Dan Carpenter,BUF,K,33,36,91.7,55,32,32,131
10,Dan Bailey,DAL,K,28,30,93.3,53,47,47,131
11,Shaun Suisham,PIT,K,30,32,93.8,48,39,39,130.8
12,Jay Feely,ARI,K,30,36,83.3,52,37,37,127
13,Nick Folk,NYJ,K,33,36,91.7,54,27,27,126
14,Robbie Gould,CHI,K,26,29,89.7,58,45,45,123
15,Blair Walsh,MIN,K,26,30,86.7,54,43,43,121
16,Ryan Succop,KC,K,22,28,78.6,51,52,52,118
17,Rob Bironas,TEN,K,25,29,86.2,55,41,41,116
18,Graham Gano,CAR,K,24,27,88.9,55,42,42,114
19,Alex Henery,PHI,K,23,28,82.1,51,45,45,114
20,Greg Zuerlein,STL,K,26,28,92.9,54,34,34,112
21,Matt Bryant,ATL,K,24,27,88.9,53,39,39,111
22,Caleb Sturgis,MIA,K,26,34,76.5,54,33,33,111
23,Garrett Hartley,NO,K,22,30,73.3,55,41,41,107
24,Mike Nugent,CIN,K,18,22,81.8,54,52,52,106
25,Randy Bullock,HOU,K,26,35,74.3,51,26,26,104
26,Josh Brown,NYG,K,23,26,88.5,52,31,31,100
27,Sebastian Janikowski,OAK,K,21,30,70,53,37,37,100
28,Rian Lindell,TB,K,23,29,79.3,54,31,31,100
29,David Akers,DET,K,19,24,79.2,53,42,42,99
30,Billy Cundiff,CLE,K,21,26,80.8,51,32,32,95
31,Josh Scobee,JAX,K,23,25,92,55,22,22,91
32,Kai Forbath,WAS,K,18,22,81.8,50,26,26,80
33,John Potter,WAS,K,3,4,75,43,7,7,16
34,Shayne Graham,PIT,K,2,2,100,40,7,7,13
35,Dustin Hopkins,BUF,K,0,0,0,0,0,0,0
