rank,name,team_abbreviation,position,snap_games_played,snap_snaps,snap_snaps_per_game,snap_percent,snap_rush_percent,snap_target_percent,snap_reception_percent,snap_touch_percent,snap_util_percent,snap_fantasy_points_percent
1,Nick Foles,PHI,QB,15,702,54,63.6,8,0,0,53.1,53.1,37
2,Peyton Manning,DEN,QB,16,1156,72.2,95.8,2.8,0,0,59.8,59.8,35.5
3,Josh McCown,CHI,QB,16,421,52.6,39.8,3.1,0,0,56.3,56.3,32.3
4,Drew Brees,NO,QB,16,1111,69.4,98.6,3.2,0,0,61.7,61.7,32.2
5,Michael Vick,PHI,QB,12,325,46.4,29.5,11.4,0,0,55.1,55.1,30.8
6,Cam Newton,CAR,QB,16,1014,63.4,98.5,10.9,0,0,57.6,57.6,29.4
7,Aaron Rodgers,GB,QB,9,582,64.7,51.9,5.2,0,0,55,55,29
8,Tony Romo,DAL,QB,15,919,61.3,92.2,2.2,0,0,60.4,60.4,28.4
9,Andrew Luck,IND,QB,16,1047,65.4,97.9,6,0,0,60.5,60.5,28
10,Russell Wilson,SEA,QB,16,973,60.8,96.1,9.9,0,0,51.7,51.7,27.7
11,Colin Kaepernick,SF,QB,16,969,60.6,97.8,9.5,0,0,52.4,52.4,27.2
12,Jay Cutler,CHI,QB,11,636,57.8,60.2,3.6,0,0,59.6,59.6,26.6
13,Sam Bradford,STL,QB,7,450,64.3,98.7,3.3,0,0,61.6,61.6,26.4
14,Philip Rivers,SD,QB,16,1098,68.6,98.9,2.6,0,0,52.1,52.1,26.1
15,Alex Smith,KC,QB,15,978,65.2,90.6,7.8,0.1,0.1,59.8,59.8,25.9
16,Andy Dalton,CIN,QB,16,1119,69.9,98.7,5.5,0,0,57.8,57.8,25.7
17,Jake Locker,TEN,QB,7,395,56.4,67.1,6.1,0,0,52.4,52.4,25.3
18,Ben Roethlisberger,PIT,QB,16,1053,65.8,100,2.5,0,0,57.9,57.9,24.8
19,Ryan Fitzpatrick,TEN,QB,16,680,61.8,63.3,6.3,0.1,0.1,57.9,57.9,24.6
20,Matthew Stafford,DET,QB,16,1133,70.8,99.8,3.2,0,0,59.1,59.1,24.6
21,Terrelle Pryor,OAK,QB,14,588,53.5,56.8,14.1,0,0,60.4,60.4,24.5
22,Matt Cassel,MIN,QB,15,459,51,44.1,3.9,0,0,59.3,59.3,23.5
23,Robert Griffin III,WAS,QB,13,906,69.7,79.2,9.5,0,0,59.8,59.8,23.5
24,Matt Ryan,ATL,QB,16,1065,66.6,98.9,1.6,0,0,62.7,62.7,23.3
25,Ryan Tannehill,MIA,QB,16,1022,63.9,99.4,3.9,0,0,61.4,61.4,23.3
26,Jason Campbell,CLE,QB,14,502,55.8,45.4,2.8,0,0,65.9,65.9,22.9
27,Case Keenum,HOU,QB,8,461,57.6,41.1,3,0,0,57.9,57.9,22.6
28,Tom Brady,NE,QB,16,1197,74.8,100,2.8,0,0,55.2,55.2,21.1
29,Christian Ponder,MIN,QB,14,511,56.8,49.1,6.7,0,0,53.4,53.4,20.9
30,Matt McGloin,OAK,QB,13,378,54,36.5,2.9,0,0,58.7,58.7,20.9
31,Carson Palmer,ARI,QB,16,1081,67.6,99.7,2.5,0,0,55.4,55.4,20.1
32,Brandon Weeden,CLE,QB,13,452,56.5,40.9,2.7,0,0,61.7,61.7,19.9
33,Geno Smith,NYJ,QB,16,993,62.1,93.7,7.3,0.1,0.1,52,52,19.5
34,EJ Manuel,BUF,QB,10,694,69.4,59.8,7.6,0,0,51.7,51.7,19.2
35,Mike Glennon,TB,QB,16,842,64.8,81.3,3.2,0,0,52.6,52.6,18.8
36,Joe Flacco,BAL,QB,16,1128,70.5,99.3,2.4,0,0,56.8,56.8,18.4
37,Matt Flynn,OAK,QB,13,394,56.3,38.9,5.1,0,0,55.8,55.8,18.3
38,Chad Henne,JAX,QB,16,898,59.9,85,3,0,0,59,59,17.9
39,Matt Schaub,HOU,QB,15,610,61,54.4,0.8,0,0,59.5,59.5,17.2
40,Eli Manning,NYG,QB,16,986,61.6,96.1,1.8,0,0,57.7,57.7,17.2
41,Thaddeus Lewis,BUF,QB,10,356,59.3,45.9,6.7,0,0,50.8,50.8,16.6
42,Kellen Clemens,STL,QB,16,554,55.4,55.2,4.2,0,0,47.8,47.8,15.3
