rank,name,team_abbreviation,position,snap_games_played,snap_snaps,snap_snaps_per_game,snap_percent,snap_rush_percent,snap_target_percent,snap_reception_percent,snap_touch_percent,snap_util_percent,snap_fantasy_point_percent
1,Ryan Mathews,SD,RB,16,471,29.4,42.4,60.5,7,5.5,66,67.5,39.1
2,LeGarrette Blount,NE,RB,16,323,20.2,23.9,47.4,1.5,0.6,48,48.9,36.8
3,Jamaal Charles,KC,RB,15,845,56.3,78.3,30.7,12.3,8.3,38.9,43,36.4
4,Stevan Ridley,NE,RB,14,333,23.8,27.8,53.5,3.6,3,56.5,57.1,35.4
5,Knowshon Moreno,DEN,RB,16,706,44.1,58.2,34.1,10.5,8.5,42.6,44.6,33.6
6,Marshawn Lynch,SEA,RB,16,711,44.4,70.3,42.3,6.2,5.1,47.4,48.5,33.6
7,LeSean McCoy,PHI,RB,16,872,54.5,79.1,36,7.3,6,42,43.3,32
8,CJ Spiller,BUF,RB,15,389,25.9,33.5,51.7,10.5,8.7,60.4,62.2,31.4
9,Chris Ivory,NYJ,RB,15,331,22.1,31.5,55,2.1,0.6,55.6,57.1,30.8
10,Andre Ellington,ARI,RB,15,410,27.3,37.4,28.8,13.9,9.5,38.3,42.7,30.7
11,DeMarco Murray,DAL,RB,14,671,47.9,67.3,32.3,9.8,7.9,40.2,42.2,30.6
12,Eddie Lacy,GB,RB,15,679,45.3,60.5,41.8,6.5,5.2,47,48.3,30.6
13,Reggie Bush,DET,RB,15,611,43.6,53.8,36.5,13.1,8.8,45.3,49.6,30.3
14,Adrian Peterson,MIN,RB,14,674,48.1,64.7,41.4,5.9,4.3,45.7,47.3,30.3
15,DeAngelo Williams,CAR,RB,15,470,31.3,45.7,42.8,7.7,5.5,48.3,50.4,29.4
16,Matt Forte,CHI,RB,16,928,58,87.8,31,10.2,8.1,39.1,41.3,28.3
17,Fred Jackson,BUF,RB,16,663,41.4,57.1,31.2,9.8,6.9,38.2,41,28.2
18,Alfred Morris,WAS,RB,16,606,37.9,52.8,45.5,2,1.5,47,47.5,27.9
19,Zac Stacy,STL,RB,14,566,40.4,56.4,44.2,6.2,4.6,48.8,50.4,27.7
20,Steven Jackson,ATL,RB,12,417,34.8,38.7,37.4,11.8,7.9,45.3,49.2,27.6
21,Rashard Mendenhall,ARI,RB,15,459,30.6,42.3,47.3,4.6,3.9,51.2,51.9,27.5
22,Shane Vereen,NE,RB,8,325,40.6,47,13.5,21.2,14.5,28,34.8,27.1
23,Giovani Bernard,CIN,RB,16,616,38.5,54.2,27.6,11.5,9.1,36.7,39.1,27.1
24,Bobby Rainey,TB,RB,16,357,22.3,31.6,42,5.3,4.2,46.5,47.6,26.6
25,Donald Brown,IND,RB,16,465,29.1,34.9,21.9,7.5,5.8,27.7,29.5,26.5
26,Arian Foster,HOU,RB,8,327,40.9,49.8,37,10.7,6.7,43.7,47.7,26.3
27,Joique Bell,DET,RB,16,623,38.9,48.8,26.6,11.1,8.5,35.2,37.7,26.3
28,Danny Woodhead,SD,RB,16,572,35.8,44.2,18.5,15.2,13.3,31.8,33.7,25.7
29,Le'Veon Bell,PIT,RB,13,677,52.1,64.4,36,9.7,6.6,42.7,45.8,25.4
30,BenJarvus Green-Ellis,CIN,RB,16,464,29,41,47.4,1.7,0.9,48.3,49.1,25
31,Chris Johnson,TEN,RB,16,798,49.9,74.2,35,6.5,5.3,40.2,41.5,24.8
32,Darren McFadden,OAK,RB,10,336,33.6,32.4,33.9,7.4,5.1,39.3,41.7,24.1
33,Frank Gore,SF,RB,16,744,46.5,75.1,37.1,3.5,2.2,39.2,40.6,23.5
34,Ben Tate,HOU,RB,14,481,34.4,48.3,37.6,10.2,7.1,44.7,47.8,23.1
35,Maurice Jones-Drew,JAX,RB,15,647,43.1,61.2,36.2,9.3,6.6,43,45.6,22.3
36,Darren Sproles,NO,RB,15,476,31.7,31.7,11.1,18.7,14.9,26.1,29.8,21.4
37,Rashad Jennings,OAK,RB,15,646,43.1,52.9,25.2,7.3,5.6,30.8,32.5,21.4
38,Pierre Thomas,NO,RB,16,629,39.3,50,23.4,13.4,12.2,35.6,36.7,21.3
39,Andre Brown,NYG,RB,8,360,45,72.4,38.6,8.1,5.6,44.2,46.7,20.6
40,Montee Ball,DEN,RB,16,440,27.5,25.8,27.3,6.1,4.5,31.8,33.4,20.2
41,Daniel Thomas,MIA,RB,15,438,29.2,33.9,24.9,3.9,3.4,28.3,28.8,18.9
42,Jason Snelling,ATL,RB,14,336,24,21,13.1,10.1,8.6,21.7,23.2,18.5
43,Trent Richardson,IND,RB,16,593,37.1,54.8,31.7,8.8,5.9,37.6,40.5,18.5
44,Ray Rice,BAL,RB,15,703,46.9,61.9,30.4,10.4,8.3,38.7,40.8,17.1
45,Bilal Powell,NYJ,RB,16,618,38.6,58.8,28.5,9.2,5.8,34.5,37.9,16.8
46,Bernard Pierce,BAL,RB,16,408,25.5,35,37.3,6.1,4.9,42.2,43.4,16.2
47,Lamar Miller,MIA,RB,16,625,39.1,60.7,28.3,5.6,4.2,32.5,33.9,15.7
48,Marcel Reece,OAK,RB,16,524,32.8,48.7,8.8,10.3,6.1,15.1,19.3,15.3
