rank,name,team_abbreviation,position,snap_games_played,snap_snaps,snap_snaps_per_game,snap_percent,snap_rush_percent,snap_target_percent,snap_reception_percent,snap_touch_percent,snap_util_percent,snap_fantasy_points_percent
1,Jimmy Graham,NO,TE,16,773,48.3,66.9,0,18.4,11.1,11.1,18.4,28.2
2,Rob Gronkowski,NE,TE,7,384,54.9,39.3,0,17.2,10.2,10.2,17.2,21.6
3,Vernon Davis,SF,TE,15,811,54.1,81.8,0,10.4,6.4,6.4,10.4,19.9
4,Joseph Fauria,DET,TE,16,330,20.6,27,0,9.1,5.5,5.5,9.1,19.7
5,Jordan Reed,WAS,TE,9,410,45.6,37.8,0.2,14.4,11,11.2,14.6,17.1
6,Julius Thomas,DEN,TE,14,914,65.3,74.6,0,9.8,7.1,7.1,9.8,16.5
7,Kellen Winslow,NYJ,TE,12,334,27.8,43,0,14.1,9.3,9.3,14.1,15.3
8,Jordan Cameron,CLE,TE,15,971,64.7,87.6,0,12.2,8.2,8.2,12.2,13.8
9,Tony Gonzalez,ATL,TE,16,1003,62.7,93.1,0,12.1,8.3,8.3,12.1,13.6
10,Jared Cook,STL,TE,16,721,45.1,71.4,0,11.8,7.1,7.1,11.8,13.2
11,Charles Clay,MIA,TE,16,915,57.2,83.3,0.8,11.1,7.5,8.3,11.9,13
12,Jason Witten,DAL,TE,16,1063,66.4,98.7,0,10.4,6.9,6.9,10.4,12.5
13,Delanie Walker,TEN,TE,15,781,52.1,70.9,0,11,7.7,7.7,11,11.9
14,Greg Olsen,CAR,TE,16,1004,62.8,97.2,0,11.1,7.3,7.3,11.1,11.8
15,Owen Daniels,HOU,TE,5,374,74.8,90.5,0,11,6.4,6.4,11,11.5
16,Zach Ertz,PHI,TE,16,617,38.6,40.8,0,9.1,5.8,5.8,9.1,11.5
17,Antonio Gates,SD,TE,16,968,60.5,87.2,0,11.7,8,8,11.7,11.1
18,Kyle Rudolph,MIN,TE,8,445,55.6,49.4,0,10.3,6.7,6.7,10.3,11
19,Coby Fleener,IND,TE,16,816,51,76.3,0,10.7,6.4,6.4,10.7,10.9
20,Martellus Bennett,CHI,TE,16,962,60.1,90.1,0,9.8,6.8,6.8,9.8,10.8
21,Marcedes Lewis,JAX,TE,11,582,52.9,55.1,0,8.1,4.3,4.3,8.1,10
22,Brent Celek,PHI,TE,16,849,53.1,76.5,0,6,3.8,3.8,6,9.9
23,Garrett Graham,HOU,TE,13,846,65.1,72.7,0,10.5,5.8,5.8,10.5,9.7
24,Rob Housler,ARI,TE,13,539,41.5,48,0,10.6,7.2,7.2,10.6,9.5
25,Jeff Cumberland,NYJ,TE,15,728,48.5,64.2,0,5.5,3.6,3.6,5.5,8.8
26,Zach Miller,SEA,TE,14,790,56.4,70.8,0,7.1,4.2,4.2,7.1,8.7
27,Lance Kendricks,STL,TE,15,587,39.1,57.4,0,7.8,5.5,5.5,7.8,8.5
28,Brandon Myers,NYG,TE,16,906,56.6,82.7,0,8.4,5.2,5.2,8.4,8.4
29,Mychal Rivera,OAK,TE,16,772,48.2,57.1,0,7.8,4.9,4.9,7.8,8.4
30,Ladarius Green,SD,TE,16,690,43.1,32.8,0,4.2,2.5,2.5,4.2,8.1
31,Luke Willson,SEA,TE,16,423,26.4,39.9,0,6.6,4.7,4.7,6.6,7.8
32,Scott Chandler,BUF,TE,16,988,61.8,79.1,0,8.2,5.4,5.4,8.2,7.7
33,Gavin Escobar,DAL,TE,16,324,20.2,19.8,0,4.6,2.8,2.8,4.6,7.7
34,Tyler Eifert,CIN,TE,15,740,49.3,59.5,0,8.1,5.3,5.3,8.1,7.6
35,Anthony Fasano,KC,TE,10,509,56.6,46.6,0,6.5,4.5,4.5,6.5,7.5
36,Heath Miller,PIT,TE,14,903,64.5,85.7,0,8.6,6.4,6.4,8.6,7
37,Sean McGrath,KC,TE,16,618,38.6,56.5,0,6.5,4.2,4.2,6.5,6.8
38,Jermaine Gresham,CIN,TE,14,956,68.3,78.7,0,7.1,4.8,4.8,7.1,6.7
39,John Carlson,MIN,TE,13,584,44.9,53.2,0,8.2,5.5,5.5,8.2,6.5
40,Clay Harbor,JAX,TE,16,638,39.9,33.9,0,5.5,3.8,3.8,5.5,6.1
41,Benjamin Watson,NO,TE,15,575,38.3,44.1,0,5.2,3.3,3.3,5.2,6.1
42,Levine Toilolo,ATL,TE,16,323,21.5,17.8,0,4.6,3.4,3.4,4.6,5.6
43,Andrew Quarless,GB,TE,16,778,48.6,61.8,0,6.8,4.1,4.1,6.8,5.5
44,Brandon Pettigrew,DET,TE,14,973,69.5,84,0,6.5,4.2,4.2,6.5,5.3
45,Ryan Griffin,HOU,TE,15,624,41.6,32.3,0,4.5,3,3,4.5,4.8
46,Logan Paulsen,WAS,TE,16,995,62.2,70.7,0,5,2.8,2.8,5,4.1
47,Jacob Tamme,DEN,TE,16,593,37.1,21.9,0,4.2,3.4,3.4,4.2,4
48,Jim Dray,ARI,TE,16,811,50.7,63.3,0,3.9,3.2,3.2,3.9,3.9
49,Cory Harkey,STL,TE,15,586,39.1,35.6,0,3.1,2.2,2.2,3.1,3.9
50,Ed Dickson,BAL,TE,16,869,54.3,55.4,0,4.9,2.9,2.9,4.9,3.8
51,Gary Barnidge,CLE,TE,16,787,49.2,47.6,0,2.3,1.7,1.7,2.3,3.2
52,Joel Dreessen,DEN,TE,13,377,29,13.2,0,2.4,1.9,1.9,2.4,2.9
53,Kellen Davis,SEA,TE,15,326,21.7,16.1,0,1.2,0.9,0.9,1.2,2.8
54,Rhett Ellison,MIN,TE,12,435,39.5,28.2,0,2.3,1.1,1.1,2.3,2.8
55,Michael Hoomanawanui,NE,TE,13,801,61.6,57.5,0,2.4,1.5,1.5,2.4,2.5
56,Matthew Mulligan,NE,TE,15,377,25.1,26.2,0,0.8,0.5,0.5,0.8,2.1
57,Vance McDonald,SF,TE,15,593,39.5,48.4,0,3.2,1.3,1.3,3.2,2
58,Josh Hill,NO,TE,14,488,34.9,15.6,0.2,2,1.2,1.4,2.3,2
59,Bear Pascoe,NYG,TE,16,447,27.9,32.6,0.2,4.5,2.7,2.9,4.7,1.8
60,David Paulson,PIT,TE,16,445,27.8,17.9,0,2.2,1.3,1.3,2.2,1.8
61,James Hanna,DAL,TE,16,480,30,31.2,0,3.1,2.5,2.5,3.1,1.5
62,Alex Smith,CIN,TE,16,524,32.8,22.3,0,1.1,0.6,0.6,1.1,1.3
63,Lee Smith,BUF,TE,16,596,37.2,36.9,0,1.5,0.8,0.8,1.5,1.3
64,Jeron Mastrud,OAK,TE,16,723,45.2,51.9,0,1.8,0.8,0.8,1.8,1.2
65,Niles Paul,WAS,TE,15,437,29.1,13.1,0,1.8,0.9,0.9,1.8,1.1
66,Taylor Thompson,TEN,TE,16,626,39.1,25.2,0,1.1,0.5,0.5,1.1,1.1
67,James Casey,PHI,TE,15,496,33.1,13.9,0,1.2,0.6,0.6,1.2,0.6
68,John Phillips,SD,TE,15,478,31.9,23,0,1.3,0.8,0.8,1.3,0.6
69,Virgil Green,DEN,TE,16,617,38.6,26.4,0,1.9,1.5,1.5,1.9,0.6
70,Ryan Taylor,GB,TE,14,477,34.1,14.5,0,1.9,1.3,1.3,1.9,0.6
71,Jack Doyle,IND,TE,15,412,29.4,17.9,0,1.7,1.2,1.2,1.7,0.5
72,Dante Rosario,CHI,TE,15,534,35.6,17.2,0,0.7,0.2,0.2,0.7,0.2
73,Craig Stevens,TEN,TE,15,587,39.1,38.9,0,1,0.3,0.3,1,0
74,Ben Hartsock,CAR,TE,13,459,35.3,30.9,0,0,0,0,0,0
75,Demarcus Dobbs,SF,TE,15,518,34.5,0,0,0,0,0,0,0
