rank,name,team_abbreviation,position,snap_games_played,snap_snaps,snap_snaps_per_game,snap_percent,snap_rush_percent,snap_target_percent,snap_reception_percent,snap_touch_percent,snap_util_percent,snap_fantasy_point_percent
1,Josh Gordon,CLE,WR,14,900,64.3,93.1,0.6,17.7,9.7,10.2,18.2,25.2
2,Calvin Johnson,DET,WR,14,896,64,78.6,0,17.4,9.4,9.4,17.4,24.4
3,Marvin Jones,CIN,WR,16,609,38.1,47.9,1.3,13.1,8.4,9.7,14.4,22.7
4,Randall Cobb,GB,WR,6,350,58.3,77.8,1.1,13.4,8.9,10,14.6,21.4
5,Dez Bryant,DAL,WR,16,939,58.7,93.6,0.1,16.9,9.9,10,17,21.2
6,Brandon Marshall,CHI,WR,16,990,61.9,93.4,0,16.6,10.1,10.1,16.6,20.8
7,Demaryius Thomas,DEN,WR,16,1112,69.5,91.6,0,12.8,8.3,8.3,12.8,20.4
8,Alshon Jeffery,CHI,WR,16,965,60.3,91,1.7,15.4,9.2,10.9,17.1,20.2
9,Anquan Boldin,SF,WR,16,808,50.5,81.1,0.2,16,10.5,10.8,16.2,19.9
10,AJ Green,CIN,WR,16,1055,65.9,93.2,0,16.9,9.3,9.3,16.9,19.8
11,Cordarrelle Patterson,MIN,WR,16,536,33.5,41.9,2.2,14.4,8.4,10.6,16.6,19.6
12,Antonio Brown,PIT,WR,16,1039,64.9,90.8,0.7,16,10.6,11.4,16.7,19.2
13,Jerricho Cotchery,PIT,WR,16,641,40.1,60.5,0.2,11.9,7.2,7.3,12,18.7
14,DeSean Jackson,PHI,WR,16,1028,64.2,89.5,0.3,12.3,8,8.3,12.5,18.2
15,Eric Decker,DEN,WR,16,1059,66.2,87,0,12.8,8.2,8.2,12.8,18.2
16,Justin Hunter,TEN,WR,14,335,23.9,31.2,0,12.5,5.4,5.4,12.5,17.6
17,Wes Welker,DEN,WR,13,786,60.5,63.8,0,14.1,9.3,9.3,14.1,17.3
18,TY Hilton,IND,WR,16,803,50.2,70.9,0.2,17.2,10.2,10.5,17.4,17.3
19,Andre Johnson,HOU,WR,16,994,62.1,88.7,0,18.2,11,11,18.2,17.2
20,Denarius Moore,OAK,WR,13,590,45.4,56.9,0,14.6,7.8,7.8,14.6,16.9
21,Vincent Jackson,TB,WR,16,976,61,93.5,0.1,16.4,8,8.1,16.5,16.8
22,Pierre Garcon,WAS,WR,16,980,61.2,85.5,0.2,18.6,11.5,11.7,18.8,16.7
23,Jordy Nelson,GB,WR,16,1089,68.1,96.5,0,11.7,7.8,7.8,11.7,16.4
24,Marques Colston,NO,WR,15,756,50.4,66.5,0,14.7,9.9,9.9,14.7,16.4
25,Tavon Austin,STL,WR,13,520,40,42,1.7,13.3,7.7,9.6,15.2,16.3
26,Victor Cruz,NYG,WR,14,786,56.1,76.5,0,15.5,9.3,9.3,15.5,15.5
27,Larry Fitzgerald,ARI,WR,16,1002,62.6,92.1,0.2,13.5,8.2,8.5,13.8,15.4
28,Eddie Royal,SD,WR,15,729,48.6,63.3,0.4,9.2,6.4,6.9,9.6,15.2
29,Reggie Wayne,IND,WR,7,430,61.4,92.4,0.2,13.5,8.8,9.1,13.7,15.1
30,Keenan Allen,SD,WR,16,987,65.8,85,0,10.5,7.2,7.2,10.5,15.1
31,Kendall Wright,TEN,WR,16,807,50.4,75.1,0,17.2,11.6,11.6,17.2,14.9
32,Rod Streater,OAK,WR,16,754,47.1,72.2,0.3,13.1,8,8.2,13.4,14.9
33,Golden Tate,SEA,WR,16,855,53.4,75.3,0.4,11.6,7.5,7.8,11.9,14.4
