rank,name,team,position,receive_targets,receive_receptions,receive_completion_percent,receive_yards,receive_touchdowns,receive_long,receive_yards_per_target,receive_yards_per_reception,fumbles,fumbles_lost,fantasy_points
1,Jimmy Graham,NO,TE,142,86,60.6,1215,16,56,8.6,14.1,0,0,303.5
2,Tony Gonzalez,ATL,TE,121,83,68.6,859,8,25,7.1,10.3,0,0,218.9
3,Julius Thomas,DEN,TE,90,65,72.2,788,12,74,8.8,12.1,0,0,215.8
4,Jordan Cameron,CLE,TE,118,80,67.8,917,7,53,7.8,11.5,1,0,213.7
5,Vernon Davis,SF,TE,84,52,61.9,850,13,64,10.1,16.3,1,1,213
6,Jason Witten,DAL,TE,111,73,65.8,851,8,34,7.7,11.7,0,0,206.1
7,Greg Olsen,CAR,TE,111,73,65.8,816,6,31,7.4,11.2,0,0,190.6
8,Charles Clay,MIA,TE,102,69,67.6,759,6,67,7.4,11,0,0,188.4
9,Antonio Gates,SD,TE,113,77,68.1,872,4,56,7.7,11.3,2,2,184.2
10,Martellus Bennett,CHI,TE,94,65,69.1,759,5,43,8.1,11.7,1,1,168.9
11,Delanie Walker,TEN,TE,86,60,69.8,571,6,33,6.6,9.5,1,0,153.1
12,Jared Cook,STL,TE,85,51,60,671,5,47,7.9,13.2,1,1,146.1
13,Coby Fleener,IND,TE,87,52,59.8,608,4,44,7,11.7,1,0,140.8
14,Garrett Graham,HOU,TE,89,49,55.1,545,5,42,6.1,11.1,2,1,131.5
15,Scott Chandler,BUF,TE,81,53,65.4,655,2,33,8.1,12.4,1,1,128.5
16,Brandon Myers,NYG,TE,76,47,61.8,522,4,27,6.9,11.1,0,0,123.2
17,Rob Gronkowski,NE,TE,66,39,59.1,592,4,50,9,15.2,0,0,122.2
18,Heath Miller,PIT,TE,78,58,74.4,593,1,31,7.6,10.2,1,1,121.3
19,Brent Celek,PHI,TE,51,32,62.7,502,6,42,9.8,15.7,1,1,116.2
20,Jordan Reed,WAS,TE,59,45,76.3,499,3,38,8.5,11.1,0,0,114.7
21,Jermaine Gresham,CIN,TE,68,46,67.6,461,4,30,6.8,10,3,3,110.1
22,Zach Ertz,PHI,TE,56,36,64.3,469,4,38,8.4,13,0,0,106.9
23,Mychal Rivera,OAK,TE,60,38,63.3,407,4,37,6.8,10.7,0,0,102.7
24,Zach Miller,SEA,TE,56,33,58.9,387,5,60,6.9,11.7,0,0,101.7
25,Tyler Eifert,CIN,TE,60,39,65,445,2,61,7.4,11.4,0,0,95.5
26,Brandon Pettigrew,DET,TE,63,41,65.1,416,2,31,6.6,10.1,1,1,92.6
27,Rob Housler,ARI,TE,57,39,68.4,454,1,31,8,11.6,1,0,90.4
28,Jeff Cumberland,NYJ,TE,40,26,65,398,4,47,10,15.3,0,0,89.8
29,Dallas Clark,BAL,TE,52,31,59.6,343,3,45,6.6,11.1,0,0,83.3
30,Marcedes Lewis,JAX,TE,47,25,53.2,359,4,41,7.6,14.4,1,1,82.9
31,Joseph Fauria,DET,TE,30,18,60,207,7,25,6.9,11.5,0,0,82.7
32,Kellen Winslow,NYJ,TE,47,31,66,388,2,34,8.3,12.5,0,0,81.8
33,Lance Kendricks,STL,TE,46,32,69.6,258,4,21,5.6,8.1,0,0,81.8
34,Kyle Rudolph,MIN,TE,46,30,65.2,313,3,31,6.8,10.4,0,0,79.3
35,Andrew Quarless,GB,TE,53,32,60.4,312,2,22,5.9,9.8,0,0,75.2
36,Jermichael Finley,GB,TE,34,25,73.5,300,3,52,8.8,12,0,0,73
37,Ladarius Green,SD,TE,29,17,58.6,376,3,60,13,22.1,0,0,72.6
38,John Carlson,MIN,TE,48,32,66.7,344,1,30,7.2,10.8,1,1,70.4
39,Logan Paulsen,WAS,TE,50,28,56,267,3,33,5.3,9.5,2,2,68.7
40,Sean McGrath,KC,TE,40,26,65,302,2,25,7.6,11.6,0,0,68.2
41,Owen Daniels,HOU,TE,41,24,58.5,252,3,28,6.1,10.5,0,0,67.2
42,Clay Harbor,JAX,TE,35,24,68.6,292,2,31,8.3,12.2,2,1,63.2
43,Anthony Fasano,KC,TE,33,23,69.7,200,3,20,6.1,8.7,0,0,61
44,Ed Dickson,BAL,TE,43,25,58.1,273,1,43,6.3,10.9,0,0,58.3
45,Jim Dray,ARI,TE,32,26,81.2,215,2,18,6.7,8.3,1,1,57.5
46,Benjamin Watson,NO,TE,30,19,63.3,226,2,32,7.5,11.9,0,0,53.6
47,Luke Willson,SEA,TE,28,20,71.4,272,1,39,9.7,13.6,0,0,53.2
48,Ryan Griffin,HOU,TE,28,19,67.9,244,1,40,8.7,12.8,0,0,49.4
49,Jacob Tamme,DEN,TE,25,20,80,184,1,15,7.4,9.2,0,0,44.4
50,Dennis Pitta,BAL,TE,33,20,60.6,169,1,18,5.1,8.4,0,0,42.9
51,Gary Barnidge,CLE,TE,18,13,72.2,127,2,40,7.1,9.8,0,0,37.7
52,Cory Harkey,STL,TE,18,13,72.2,113,2,31,6.3,8.7,0,0,36.3
53,Gavin Escobar,DAL,TE,15,9,60,134,2,25,8.9,14.9,0,0,34.4
54,Michael Hoomanawanui,NE,TE,19,12,63.2,136,1,19,7.2,11.3,0,0,31.6
55,Levine Toilolo,ATL,TE,15,11,73.3,55,2,12,3.7,5,0,0,28.5
56,Jake Ballard,ARI,TE,9,7,77.8,75,2,29,8.3,10.7,0,0,26.5
57,Brandon Bostick,GB,TE,14,7,50,120,1,26,8.6,17.1,0,0,25
58,Chase Ford,MIN,TE,16,11,68.8,133,0,37,8.3,12.1,0,0,24.3
59,Bear Pascoe,NYG,TE,20,12,60,81,0,14,4,6.8,0,0,20.3
60,Fred Davis,WAS,TE,18,7,38.9,70,1,23,3.9,10,0,0,20
61,Vance McDonald,SF,TE,19,8,42.1,119,0,25,6.3,14.9,0,0,19.9
62,James Hanna,DAL,TE,15,12,80,73,0,21,4.9,6.1,0,0,19.3
63,Joel Dreessen,DEN,TE,9,7,77.8,47,1,14,5.2,6.7,0,0,17.7
64,Rhett Ellison,MIN,TE,10,5,50,61,1,17,6.1,12.2,0,0,17.1
