position_draft_position,name,team_abbreviation,bye_week,overall_draft_position,position
1,Seattle Seahawks,SEA,4,59,DST
2,San Francisco 49ers,SF,8,79,DST
3,Carolina Panthers,CAR,12,83,DST
4,Arizona Cardinals,ARI,4,100,DST
5,Kansas City Chiefs,KC,6,107,DST
6,St. Louis Rams,STL,4,101,DST
7,Denver Broncos,DEN,4,104,DST
8,Cincinnati Bengals,CIN,4,115,DST
9,New England Patriots,NE,10,110,DST
10,Houston Texans,HOU,10,138,DST
11,Chicago Bears,CHI,9,162,DST
12,Cleveland Browns,CLE,4,159,DST
13,Tampa Bay Buccaneers,TB,7,181,DST
14,New Orleans Saints,NO,6,169,DST
15,Green Bay Packers,GB,9,161,DST
16,Pittsburgh Steelers,PIT,12,165,DST
17,Baltimore Ravens,BAL,11,183,DST
18,Buffalo Bills,BUF,9,188,DST
19,Philadelphia Eagles,PHI,7,212,DST
20,Dallas Cowboys,DAL,11,191,DST
21,New York Jets,NYJ,11,224,DST
22,New York Giants,NYG,8,197,DST
23,Detroit Lions,DET,9,198,DST
24,Miami Dolphins,MIA,5,210,DST
25,Indianapolis Colts,IND,10,228,DST
26,Minnesota Vikings,MIN,10,247,DST
