position_draft_position,display_name,team_abbreviation,bye_week,overall_draft_position,position
1,Stephen Gostkowski,NE,10,96,K
2,Matt Prater,DEN,4,99,K
3,Steven Hauschka,SEA,4,116,K
4,Justin Tucker,BAL,11,117,K
5,Phil Dawson,SF,8,127,K
6,Mason Crosby,GB,9,137,K
7,Dan Bailey,DAL,11,150,K
8,Adam Vinatieri,IND,10,149,K
9,Blair Walsh,MIN,10,160,K
10,Matt Bryant,ATL,9,196,K
11,Sebastian Janikowski,OAK,5,177,K
12,Robbie Gould,CHI,9,195,K
13,Greg Zuerlein,STL,4,232,K
14,Nick Novak,SD,10,187,K
15,Shayne Graham,NO,6,234,K
16,Alex Henery,PHI,7,236,K
17,Caleb Sturgis,MIA,5,240,K
18,David Akers,FA,,221,K
19,Ryan Succop,KC,6,237,K
20,Nick Folk,NYJ,11,242,K
21,Mike Nugent,CIN,4,235,K
22,Dan Carpenter,BUF,9,245,K
23,Graham Gano,CAR,12,246,K
24,Jay Feely,ARI,4,nil,K
25,Shaun Suisham,PIT,12,nil,K
