position_draft_position,name,team_abbreviation,bye_week,overall_draft_position,position
1,Peyton Manning,DEN,4,7,QB
2,Drew Brees,NO,6,16,QB
3,Aaron Rodgers,GB,9,18,QB
4,Matthew Stafford,DET,9,40,QB
5,Andrew Luck,IND,10,44,QB
6,Cam Newton,CAR,12,56,QB
7,Robert Griffin III,WAS,10,57,QB
8,Tom Brady,NE,10,58,QB
9,Nick Foles,PHI,7,61,QB
10,Matt Ryan,ATL,9,70,QB
11,Colin Kaepernick,SF,8,72,QB
12,Tony Romo,DAL,11,87,QB
13,Russell Wilson,SEA,4,92,QB
14,Jay Cutler,CHI,9,102,QB
15,Philip Rivers,SD,10,103,QB
16,Ben Roethlisberger,PIT,12,126,QB
17,Andy Dalton,CIN,4,130,QB
18,Johnny Manziel,CLE,4,136,QB
19,Eli Manning,NYG,8,152,QB
20,Alex Smith,KC,6,154,QB
21,Ryan Tannehill,MIA,5,164,QB
22,Teddy Bridgewater,MIN,10,176,QB
23,Carson Palmer,ARI,4,171,QB
24,Joe Flacco,BAL,11,168,QB
25,Michael Vick,NYJ,11,185,QB
26,Sam Bradford,STL,4,189,QB
27,Josh McCown,TB,7,174,QB
28,E.J. Manuel,BUF,9,233,QB
