position_draft_position,name,team_abbreviation,bye_week,overall_draft_position,position
1,LeSean McCoy,PHI,7,1,RB
2,Jamaal Charles,KC,6,2,RB
3,Adrian Peterson,MIN,10,3,RB
4,Matt Forte,CHI,9,4,RB
5,Eddie Lacy,GB,9,6,RB
6,Montee Ball,DEN,4,11,RB
7,DeMarco Murray,DAL,11,13,RB
8,Marshawn Lynch,SEA,4,16,RB
9,Arian Foster,HOU,10,17,RB
10,Le'Veon Bell,PIT,12,18,RB
11,Giovani Bernard,CIN,4,19,RB
12,Doug Martin,TB,7,27,RB
13,Andre Ellington,ARI,4,28,RB
14,Reggie Bush,DET,9,30,RB
15,C.J. Spiller,BUF,9,32,RB
16,Alfred Morris,WAS,10,33,RB
17,Zac Stacy,STL,4,35,RB
18,Shane Vereen,NE,10,36,RB
19,Toby Gerhart,JAC,11,41,RB
20,Bishop Sankey,TEN,9,45,RB
21,Ryan Mathews,SD,10,48,RB
22,Rashad Jennings,NYG,8,49,RB
23,Pierre Thomas,NO,6,53,RB
24,Trent Richardson,IND,10,55,RB
25,Joique Bell,DET,9,56,RB
26,Chris Johnson,NYJ,11,58,RB
27,Frank Gore,SF,8,62,RB
28,Ray Rice,BAL,11,63,RB
29,Ben Tate,CLE,4,67,RB
30,Darren Sproles,PHI,7,72,RB
31,Stevan Ridley,NE,10,73,RB
32,Danny Woodhead,SD,10,76,RB
33,Steven Jackson,ATL,9,78,RB
34,Lamar Miller,MIA,5,84,RB
35,Maurice Jones-Drew,OAK,5,87,RB
36,Terrance West,CLE,4,90,RB
37,Bernard Pierce,BAL,11,95,RB
38,Fred Jackson,BUF,9,99,RB
39,Darren McFadden,OAK,5,103,RB
40,Khiry Robinson,NO,6,104,RB
41,Devonta Freeman,ATL,9,106,RB
42,Jeremy Hill,CIN,4,111,RB
43,Christine Michael,SEA,4,112,RB
44,DeAngelo Williams,CAR,12,116,RB
45,Knowshon Moreno,MIA,5,118,RB
46,Carlos Hyde,SF,8,122,RB
47,David Wilson,NYG,8,126,RB
48,Tre Mason,STL,4,132,RB
49,Jonathan Stewart,CAR,12,140,RB
50,Lance Dunbar,DAL,11,143,RB
51,Knile Davis,KC,6,146,RB
52,LeGarrette Blount,PIT,12,147,RB
53,Christopher Ivory,NYJ,11,152,RB
54,Ahmad Bradshaw,IND,10,157,RB
55,Dexter McCluster,TEN,9,158,RB
56,Roy Helu,WAS,10,159,RB
57,Andre Brown,HOU,10,164,RB
58,C.J. Anderson,DEN,4,170,RB
59,Bryce Brown,BUF,9,172,RB
60,Mark Ingram,NO,6,175,RB
61,James Starks,GB,9,177,RB
62,Charles Sims,TB,7,178,RB
63,Donald Brown,SD,10,184,RB
64,James White,NE,10,202,RB
