name,team_abbreviation,rush_attempts,rush_yards,rush_touchdowns,receive_receptions,receive_yards,receive_touchdowns,fumbles,fantasy_points
Jamaal Charles,KC,253.4,1294.2,9.6,67.3,599.1,4,2,266.9
LeSean McCoy,PHI,289.5,1450.9,10.1,43.3,384.9,2.5,2,255.2
Matt Forte,CHI,274.4,1271.8,8.1,67,543.4,2.9,2,243.5
Adrian Peterson,MIN,296,1378.7,11.1,41.1,274.1,1.5,2.5,235.9
Eddie Lacy,GB,274.2,1243,10.6,37.5,271.8,1,1,219.1
Arian Foster,HOU,268.9,1191.5,7.8,45.9,360.1,1.6,2,207.6
DeMarco Murray,DAL,228.7,1106.6,8.8,55.8,414.4,1,2,206.9
Montee Ball,DEN,247.5,1124.1,9.4,45.5,338.8,1.5,2.5,206.7
Marshawn Lynch,SEA,274.9,1223.4,10.1,26.8,214.5,1,2,206.4
Le'Veon Bell,PIT,267.8,1136.5,8.4,49.4,377.8,0.9,1,205.2
Giovani Bernard,CIN,230.4,1076.9,5.1,58.4,501.2,2.9,2.5,200.8
Doug Martin,TB,276.8,1189.8,8,35.4,267.9,1.5,2,198.8
Alfred Morris,WAS,269.3,1292.3,9.3,13.2,101.6,0.3,2.5,192
Zac Stacy,STL,289.5,1211.7,8.6,28.8,183.7,0.8,2,191.9
Andre Ellington,ARI,195.2,973.6,4.3,52.1,459.8,2.2,1.5,179.3
Bishop Sankey,TEN,252.7,1091.1,5.9,37.6,291,1.2,2,176.8
Toby Gerhart,JAC,252.4,1068.1,6.9,34.2,248.4,1,1.5,176.1
Ryan Mathews,SD,256.7,1145.2,6.6,22.4,165.8,0.6,2,170.3
Reggie Bush,DET,189.4,887.5,3.9,48.4,430,2.8,2.5,167
C.J. Spiller,BUF,207.1,1025.9,5.5,37.4,279.1,1.1,2.5,165.1
Ray Rice,BAL,203.4,868.2,6,48.2,361.2,1.5,2,163.9
Frank Gore,SF,241.3,1062.5,7.7,17.2,138.3,0,1.5,163.3
Joique Bell,DET,203.1,867.5,6.3,43,361.3,1.2,2.5,162.9
Trent Richardson,IND,246.5,941.5,6.3,41.4,312.8,0.7,3,161.4
Chris Johnson,NYJ,229.1,956.1,5.3,38,291.4,1.4,2.5,160
Rashad Jennings,NYG,214.9,935.4,6.3,35.8,263.6,1,2,159.7
Shane Vereen,NE,124.4,563.7,2.9,66.1,605.2,4.1,1,156.9
Ben Tate,CLE,231.5,1006.3,6.6,27.3,184.7,0.2,3,153.9
