name,team_abbreviation,receive_receptions,receive_yards,receive_touchdowns,fumbles,fantasy_points
Jimmy Graham,NO,87.7,1180.3,12.9,0.0,195.4
Julius Thomas,DEN,76.2,937.8,10.9,0.5,158.2
Rob Gronkowski,NE,66.5,915.7,9.2,0.0,146.8
Vernon Davis,SF,57.8,815.3,9.7,0.5,138.7
Jason Witten,DAL,76.7,850.9,6.5,0.0,124.1
Jordan Cameron,CLE,74.5,869.5,5.9,0.5,121.4
Dennis Pitta,BAL,64.5,759.8,6.8,0.0,116.8
Greg Olsen,CAR,72.9,839.7,5.5,0.5,116.0
Jordan Reed,WAS,64.8,762.8,6.5,0.0,115.3
Kyle Rudolph,MIN,61.5,688.7,7.0,0.0,110.9
Zach Ertz,PHI,52.9,709.8,5.6,0.5,103.6
Martellus Bennett,CHI,63.1,722.9,5.0,0.5,101.3
Heath Miller,PIT,62.8,682.2,5.0,1.0,96.2
Ladarius Green,SD,45.9,655.4,5.1,0.0,96.1
Antonio Gates,SD,62.8,700.7,4.5,0.5,96.1
Delanie Walker,TEN,58.0,610.1,5.6,0.5,93.6
Charles Clay,MIA,57.1,664.7,4.7,1.0,92.7
Eric Ebron,DET,45.5,584.9,5.6,0.0,92.1
Jared Cook,STL,48.5,582.1,4.4,1.0,82.6
Dwayne Allen,IND,43.5,530.3,4.9,0.0,82.4
Jace Amaro,NYJ,41.8,529.6,3.8,0.0,75.8
Garrett Graham,HOU,45.9,505.3,4.1,0.0,75.1
Tyler Eifert,CIN,41.7,508.7,3.8,0.0,73.7
Scott Chandler,BUF,45.3,514.3,3.6,1.0,71.0
Marcedes Lewis,JAC,39.3,451.6,3.7,0.0,67.4
Coby Fleener,IND,35.7,432.1,3.7,0.0,65.4
Brent Celek,PHI,36.6,446.9,3.5,0.5,64.7
Zach Miller,SEA,33.3,379.9,3.4,0.0,58.4
Jermaine Gresham,CIN,36.6,401.9,3.1,1.5,55.8
Travis Kelce,KC,33.0,390.5,2.5,0.5,53.1
Adrien Robinson,NYG,31.8,403.5,2.1,0.0,53.0
Mychal Rivera,OAK,32.0,356.1,2.8,0.0,52.4
Austin Seferian-Jenkins,TB,27.4,316.8,3.3,0.0,51.5
Owen Daniels,BAL,30.9,348.7,2.5,0.0,49.9
Robert Housler,ARI,31.5,351.6,2.4,0.0,49.6
Levine Toilolo,ATL,26.9,326.9,2.8,0.0,49.5
Brandon Bostick,GB,23.4,336.3,2.8,0.5,49.1
Tim Wright,TB,25.0,288.9,2.9,0.0,46.3
Andrew Quarless,GB,27.0,316.1,2.4,0.0,46.0
Jermichael Finley,FA,23.9,291.0,2.8,0.0,45.6
Brandon Pettigrew,DET,30.2,305.1,2.7,1.0,44.7
C.J. Fiedorowicz,HOU,22.3,278.3,2.6,0.0,43.6
Anthony Fasano,KC,25.1,257.6,2.5,0.0,40.8
Ryan Griffin,HOU,23.3,263.5,1.7,0.0,36.6
Luke Willson,SEA,18.1,236.5,1.9,0.0,35.1
Gavin Escobar,DAL,19.6,241.5,1.8,0.0,35.0
Jeff Cumberland,NYJ,21.1,254.1,1.5,0.0,34.4
Lance Kendricks,STL,21.5,240.5,1.6,0.0,33.7
Brandon Myers,TB,21.9,235.6,1.6,0.0,33.2
David Ausberry,OAK,19.6,237.3,1.5,0.0,32.7
Benjamin Watson,NO,19.6,215.4,1.6,0.0,31.3
John Carlson,ARI,20.4,207.7,1.7,0.0,31.0
Ed Dickson,CAR,21.8,233.5,1.2,0.0,30.6
Joseph Fauria,DET,13.4,157.9,2.2,0.5,28.0
Clay Harbor,JAC,17.2,189.1,1.1,0.0,25.5
Tony Moeaki,BUF,14.4,177.9,1.1,0.0,24.5
Michael Hoomanawanui,NE,14.9,174.5,1.0,0.0,23.5
Kellen Davis,NYG,12.5,132.9,1.3,0.0,20.8
Vance McDonald,SF,12.4,171.1,0.6,0.0,20.7
Logan Paulsen,WAS,13.8,153.6,0.8,0.0,20.2
Virgil Green,DEN,12.0,165.5,0.5,0.0,19.6
Cory Harkey,STL,12.5,121.5,1.0,0.0,18.2
Anthony McCoy,SEA,11.3,136.5,0.8,0.0,18.2
Rhett Ellison,MIN,13.0,150.0,0.5,0.0,18.0
Jim Dray,CLE,12.8,128.3,0.8,0.0,17.3
Dion Sims,MIA,9.8,125.6,0.8,0.0,17.1
Troy Niklas,ARI,10.2,134.4,0.6,0.0,17.0
Richard Rodgers,GB,10.0,107.5,1.0,0.0,16.8
James Hanna,DAL,13.0,137.0,0.5,0.0,16.7
Crockett Gillmore,BAL,9.0,115.5,0.8,0.0,16.1
Joel Dreessen,DEN,10.5,100.5,1.0,0.0,16.1
Bear Pascoe,ATL,13.0,128.0,0.5,0.0,15.8
Zach Sudfeld,NYJ,9.0,127.5,0.5,0.0,15.8
Jacob Tamme,DEN,10.9,115.3,0.7,0.0,15.7
Gary Barnidge,CLE,11.5,111.5,0.8,0.0,15.7
Arthur Lynch,MIA,9.5,111.0,0.5,0.0,14.1
Matt Spaeth,PIT,6.5,73.0,1.0,0.0,13.3
Jake Ballard,ARI,7.5,87.4,0.8,0.0,13.2
Josh Hill,FA,8.3,86.3,0.8,0.0,13.1
James Casey,PHI,9.3,108.0,0.4,0.0,13.1
Nick Kasa,OAK,8.5,93.0,0.5,0.0,12.3
Sean McGrath,KC,7.9,90.8,0.4,0.0,11.3
David Paulson,PIT,10.4,110.1,0.0,0.0,11.0
Larry Donnell,NYG,8.0,92.5,0.0,0.0,9.3
Michael Egnew,MIA,8.3,91.5,0.0,0.0,9.2
Fendi Onobun,CHI,6.5,89.0,0.0,0.0,8.9
Chase Ford,MIN,6.5,85.0,0.0,0.0,8.5
Chris Gragg,BUF,5.6,61.9,0.4,0.0,8.4
D.J. Williams,NE,5.8,60.5,0.3,0.0,7.6
Mickey Shuler,ATL,6.8,73.5,0.0,0.0,7.4
Gerell Robinson,DEN,6.0,72.8,0.0,0.0,7.3
Dante Rosario,CHI,4.0,42.5,0.5,0.0,7.3
John Phillips,SD,8.0,72.5,0.0,0.0,7.3
Craig Stevens,TEN,6.5,71.0,0.0,0.0,7.1
Weslye Saunders,IND,6.0,68.3,0.0,0.0,6.8
Taylor Thompson,TEN,6.0,67.9,0.0,0.0,6.8
Ryan Taylor,GB,5.5,67.0,0.0,0.0,6.7
Lee Smith,BUF,6.5,64.5,0.0,0.0,6.5
Garrett Celek,SF,5.3,58.5,0.0,0.0,5.9
Niles Paul,WAS,6.0,57.0,0.0,0.0,5.7
Allen Reisner,MIN,4.5,56.3,0.0,0.0,5.6
Kevin Brock,CIN,5.0,55.5,0.0,0.0,5.6
Michael Palmer,PIT,6.0,53.3,0.0,0.0,5.3
David Johnson,SD,5.3,50.3,0.0,0.0,5.0
Jack Doyle,IND,5.0,49.5,0.0,0.0,5.0
Konrad Reuland,FA,5.0,47.0,0.0,0.0,4.7
Luke Stocker,TB,3.5,43.5,0.0,0.0,4.4
MarQueis Gray,CLE,5.3,41.3,0.0,0.0,4.1
Matthew Mulligan,CHI,3.8,40.5,0.0,0.0,4.1
Darren Fells,ARI,3.8,40.5,0.0,0.0,4.1
Zach Miller,CHI,3.0,39.8,0.0,0.0,4.0
Mike McNeill,CAR,3.0,32.5,0.0,0.0,3.3
Andrew Szczerba,ATL,3.0,32.3,0.0,0.0,3.2
Brandon Barden,JAC,2.3,30.8,0.0,0.0,3.1
Daniel Fells,NYG,2.3,26.3,0.0,0.0,2.6
Emil Igwenagu,PHI,3.0,24.8,0.0,0.0,2.5
Richard Gordon,KC,2.3,23.3,0.0,0.0,2.3
Ted Bolser,WAS,2.3,12.0,0.0,0.0,1.2
Richie Brockel,CAR,2.3,10.5,0.0,0.0,1.1
Brad Smelley,HOU,1.5,9.0,0.0,0.0,0.9
