name,team_abbreviation,rush_attempts,rush_yards,rush_touchdowns,receive_receptions,receive_yards,receive_touchdowns,fumbles,fantasy_points
Calvin Johnson,DET,0.0,0.0,0.0,93.8,1578.6,12.1,1.0,228.5
Demaryius Thomas,DEN,0.0,0.0,0.0,94.8,1441.6,12.7,0.5,219.4
Julio Jones,ATL,4.0,35.5,0.0,92.6,1392.7,10.1,0.5,202.4
Dez Bryant,DAL,0.5,4.0,0.0,93.9,1314.0,11.4,1.0,198.2
A.J. Green,CIN,0.0,0.0,0.0,91.2,1315.2,10.5,0.0,194.5
Brandon Marshall,CHI,0.0,0.0,0.0,101.4,1264.1,10.7,0.0,190.6
Jordy Nelson,GB,0.0,0.0,0.0,80.0,1254.6,10.1,0.5,185.1
Alshon Jeffery,CHI,12.5,81.0,0.5,82.3,1276.5,8.0,1.0,184.8
Antonio Brown,PIT,6.5,40.5,0.0,102.3,1343.7,7.5,0.5,182.4
Randall Cobb,GB,8.5,94.5,0.0,86.5,1176.1,7.8,1.0,171.9
Vincent Jackson,TB,0.5,6.0,0.0,72.9,1190.7,7.8,0.0,166.5
Andre Johnson,HOU,0.0,0.0,0.0,92.6,1275.1,5.9,0.0,162.9
Larry Fitzgerald,ARI,1.0,5.5,0.0,85.0,1077.8,9.0,0.0,162.3
Michael Crabtree,SF,0.5,6.0,0.0,80.9,1139.1,7.7,1.0,158.7
Pierre Garcon,WAS,1.0,9.5,0.0,91.1,1193.8,6.1,0.5,155.9
Keenan Allen,SD,0.0,0.0,0.0,74.9,1077.4,8.3,1.0,155.5
Cordarrelle Patterson,MIN,13.5,115.5,1.0,68.8,928.8,6.7,0.0,150.6
Wes Welker,DEN,0.0,0.0,0.0,82.2,989.3,8.9,1.0,150.3
Roddy White,ATL,0.0,0.0,0.0,85.6,1089.7,7.0,0.5,150.0
Michael Floyd,ARI,0.0,0.0,0.0,76.8,1115.4,6.4,0.0,149.9
Victor Cruz,NYG,0.0,0.0,0.0,81.8,1079.8,7.0,1.0,148.0
Percy Harvin,SEA,20.5,113.0,1.0,74.7,917.4,6.1,0.5,144.6
Torrey Smith,BAL,2.0,16.5,0.0,65.8,1060.0,6.0,0.5,142.7
DeSean Jackson,WAS,3.5,24.0,0.0,59.7,957.9,7.1,0.0,140.8
Jeremy Maclin,PHI,0.0,0.0,0.0,71.4,994.9,6.4,0.5,136.9
Mike Wallace,MIA,4.5,38.5,0.0,71.2,998.5,5.5,0.5,135.7
Julian Edelman,NE,2.0,17.0,0.0,91.2,998.7,5.9,1.0,135.0
Ty Hilton,IND,4.5,29.5,0.0,68.4,974.6,5.8,0.5,134.2
Marques Colston,NO,0.0,0.0,0.0,76.1,971.7,6.2,0.5,133.4
Golden Tate,DET,3.0,25.0,0.0,69.1,954.5,6.0,1.0,132.0
Emmanuel Sanders,DEN,0.5,9.5,0.0,67.5,952.4,6.0,0.5,131.2
Kendall Wright,TEN,0.5,4.0,0.0,87.9,1043.1,4.6,1.0,130.3
Eric Decker,NYJ,0.0,0.0,0.0,64.1,900.7,6.2,1.0,125.3
Terrance Williams,DAL,2.0,9.5,0.0,59.2,885.0,6.2,1.5,123.7
Sammy Watkins,BUF,3.5,21.0,0.0,59.9,871.6,5.6,1.0,120.9
Reggie Wayne,IND,0.0,0.0,0.0,69.2,883.7,4.6,0.0,116.0
Riley Cooper,PHI,0.0,0.0,0.0,51.6,809.5,5.6,0.5,113.6
Rueben Randle,NYG,0.0,0.0,0.0,57.0,785.0,5.7,0.5,111.7
Dwayne Bowe,KC,0.0,0.0,0.0,65.9,816.5,4.9,0.0,111.1
Mike Evans,TB,0.0,0.0,0.0,52.4,770.6,5.8,0.5,110.9
Tavon Austin,STL,12.5,130.0,1.0,54.1,675.9,4.3,1.5,109.4
Marvin Jones,CIN,6.0,50.0,0.0,58.0,749.1,5.3,1.5,108.7
Cecil Shorts,JAC,0.0,0.0,0.0,61.7,827.4,4.1,0.0,107.3
Anquan Boldin,SF,1.0,7.0,0.0,60.0,802.8,4.5,0.5,107.0
Kenny Stills,NO,1.5,12.0,0.0,45.4,733.4,5.3,0.5,105.3
Brandin Cooks,NO,4.5,26.0,0.0,51.9,727.6,5.4,1.5,104.8
Brian Hartline,MIA,0.0,0.0,0.0,68.8,922.6,2.3,1.0,104.1
Hakeem Nicks,IND,0.0,0.0,0.0,50.6,762.9,4.6,0.0,103.9
DeAndre Hopkins,HOU,0.0,0.0,0.0,59.0,793.6,4.2,0.5,103.6
James Jones,OAK,0.0,0.0,0.0,58.1,746.9,4.6,0.0,102.3
Danny Amendola,NE,0.0,0.0,0.0,64.7,749.3,4.8,1.0,101.7
Doug Baldwin,SEA,1.0,7.0,0.0,53.6,733.9,4.3,0.5,98.9
Kelvin Benjamin,CAR,0.0,0.0,0.0,48.6,727.0,4.4,0.5,98.1
Jarrett Boykin,GB,0.0,0.0,0.0,54.1,725.3,4.4,0.5,97.9
Greg Jennings,MIN,0.0,0.0,0.0,60.1,716.6,4.3,0.5,96.5
Harry Douglas,ATL,0.0,0.0,0.0,61.8,771.8,3.3,0.5,96.0
Justin Hunter,TEN,0.0,0.0,0.0,40.4,668.1,4.6,0.0,94.4
Steve Smith,BAL,0.0,0.0,0.0,54.4,694.9,4.5,1.5,93.5
Rod Streater,OAK,1.0,8.5,0.0,51.4,713.6,4.1,2.0,92.8
Odell Beckham Jr.,NYG,3.0,18.0,0.0,43.8,668.9,4.1,1.0,91.3
Robert Woods,BUF,2.0,16.0,0.0,49.6,663.0,3.5,0.5,87.9
Andrew Hawkins,CLE,5.5,35.0,0.0,53.5,634.8,3.3,0.0,86.8
Jerricho Cotchery,CAR,0.0,0.0,0.0,48.7,634.7,3.8,1.5,83.3
Markus Wheaton,PIT,1.0,8.5,0.0,43.0,605.3,3.8,0.5,83.2
Chris Givens,STL,2.0,15.5,0.0,43.6,644.6,2.9,0.5,82.4
Nate Washington,TEN,0.0,0.0,0.0,43.4,621.1,3.1,0.5,79.7
Jordan Matthews,PHI,0.0,0.0,0.0,40.7,588.8,3.5,0.5,78.9
Marqise Lee,JAC,1.0,8.5,0.0,39.9,582.7,3.6,1.0,78.7
Aaron Dobson,NE,0.0,0.0,0.0,39.9,548.4,3.7,0.0,77.0
Donnie Avery,KC,0.0,0.0,0.0,42.4,584.9,2.6,0.0,74.2
Josh Gordon,CLE,0.0,0.0,0.0,32.3,521.2,4.2,1.5,74.1
Lance Moore,PIT,0.0,0.0,0.0,45.8,582.7,2.6,0.0,73.9
Jeremy Kerley,NYJ,2.5,9.5,0.0,44.9,577.6,2.8,1.0,73.5
Mike Williams,BUF,0.0,0.0,0.0,41.4,563.5,3.0,0.5,73.4
Brandon LaFell,NE,1.0,6.0,0.0,35.4,514.6,3.5,0.5,72.1
Andre Roberts,WAS,1.5,8.5,0.0,46.8,540.5,2.9,0.5,71.3
Denarius Moore,OAK,0.0,0.0,0.0,34.9,545.0,3.2,1.5,70.7
Dexter McCluster,TEN,36.5,163.0,0.0,45.5,415.5,2.0,0.0,69.9
Ted Ginn Jr.,ARI,4.0,24.5,0.0,32.8,476.5,3.1,0.0,68.7
Allen Robinson,JAC,0.0,0.0,0.0,33.8,500.3,3.4,1.0,68.3
Santonio Holmes,FA,0.0,0.0,0.0,38.0,497.0,3.0,0.0,67.7
Steve Johnson,SF,0.0,0.0,0.0,41.7,530.0,2.7,1.0,67.2
Nate Burleson,CLE,1.0,5.0,0.0,40.7,491.8,2.9,0.0,67.1
Kenny Britt,STL,0.0,0.0,0.0,34.4,498.7,2.8,0.5,65.7
