position_rank,name,team_abbreviation
1,Matt Prater,DEN
2,Stephen Gostkowski,NE
3,Justin Tucker,BAL
4,Steven Hauschka,SEA
5,Phil Dawson,SF
6,Dan Bailey,DAL
7,Mason Crosby,GB
8,Blair Walsh,MIN
9,Matt Bryant,ATL
10,Adam Vinatieri,IND
11,Nick Novak,SD
12,Robbie Gould,CHI
13,Greg Zuerlein,STL
14,Alex Henery,PHI
15,Shayne Graham,NO
16,Sebastian Janikowski,OAK
17,Graham Gano,CAR
18,Ryan Succop,KC
19,Kai Forbath,WAS
20,Caleb Sturgis,MIA
21,Nate Freese,DET
22,David Akers,FA
23,Nick Folk,NYJ
24,Shaun Suisham,PIT
25,Mike Nugent,CIN
26,Josh Brown,NYG
27,Jay Feely,ARI
28,Dan Carpenter,BUF
29,Randy Bullock,HOU
30,Connor Barth,TB
31,Maikon Bonani,TEN
32,Josh Scobee,JAC
33,Billy Cundiff,CLE
34,Dustin Hopkins,BUF
35,Giorgio Tavecchio,DET
