Player Name , Team ,fg ,fg High ,fg Low ,fga ,fga High ,fga Low ,xpt ,xpt High ,xpt Low ,fpts ,fpts High ,fpts Low 
Stephen Gostkowski,NE,32.6,37,28,36.5,40,32,50.3,54,48,148.1,159,138
Phil Dawson,SF,31.1,33,28,34.5,37,31,44.9,48,43,138.3,142,132
Justin Tucker,BAL,33.5,36,30,37.3,40,34,33.8,36,30,134.3,141,126
Matt Prater,DEN,24.8,27,23,28.1,30,27,59.9,67,55,134.1,141,124
Mason Crosby,GB,27.8,30,25,32.8,35,29,50.8,53,48,134,143,127
Steven Hauschka,SEA,29.9,33,26,33.5,36,30,44.3,45,43,133.9,142,123
Adam Vinatieri,IND,31.1,35,26,34.6,38,29,39.1,44,33,132.5,140,122
Dan Bailey,DAL,29,30,28,31.8,33,31,43.4,46,41,130.4,134,125
Shayne Graham,NO,26.1,30,23,30.5,34,28,52,57,45,130.4,135,126
Nick Novak,SD,29.5,31,27,33.8,36,32,40.5,42,39,129,135,121
Matt Bryant,ATL,29,30,26,33.1,35,29,40.4,44,37,127.4,134,115
Robbie Gould,CHI,26.6,27,26,30.6,31,30,43,43,43,122.9,124,121
Alex Henery,PHI,24.8,27,23,30.1,34,27,46,49,43,120.3,124,118
Blair Walsh,MIN,27.1,32,25,32.4,35,30,36.8,39,34,118.1,135,112
Shaun Suisham,PIT,26,29,24,29.8,32,28,40.1,45,34,118.1,129,112
Jay Feely,ARI,26.6,27,26,32.5,34,31,34.5,36,33,114.4,117,111
Greg Zuerlein,STL,25.4,26,25,30.9,32,29,38,43,33,114.1,118,111
Dan Carpenter,BUF,26,29,25,30.4,33,29,35.9,40,33,113.9,121,108
Ryan Succop,KC,24.4,25,24,29.8,30,29,40.5,45,35,113.6,118,107
Caleb Sturgis,MIA,26.4,28,23,32,36,29,34.1,36,33,113.3,117,102
Sebastian Janikowski,OAK,25.1,26,24,30.1,31,29,36.5,39,33,111.9,117,108
Graham Gano,CAR,24.9,28,21,28.9,32,25,37,43,30,111.6,121,103
Nick Folk,NYJ,25.8,28,24,31.9,35,28,33.9,41,26,111.1,119,104
Mike Nugent,CIN,22.5,23,21,26.4,27,26,42,48,37,109.5,112,106
Josh Brown,NYG,25,26,24,29.8,30,29,34.4,40,27,109.4,112,105
Connor Barth,TB,24.3,26,22,30,34,27,32.8,40,24,105.5,112,101
Randy Bullock,HOU,23.5,24,22,30.4,32,27,33.1,39,28,103.6,111,98
Josh Scobee,JAC,23.6,25,22,27.3,28,26,31,34,26,101.9,106,100
Billy Cundiff,CLE,21.9,23,20,26.9,28,25,34.5,41,29,100.1,107,93
Kai Forbath,WAS,22.1,25,18,27.1,33,20,32.8,41,30,99.1,113,84
Maikon Bonani,TEN,22,24,20,27.4,29,26,31,37,23,97,103,95
Nate Freese,DET,19.2,23,11.5,22.8,28,13.5,37.7,48,24,95.2,117,58.5
Giorgio Tavecchio,DET,16.5,22,11,21,28,14,21.8,29,14.5,71.3,95,47.5
Dustin Hopkins,BUF,2.3,3,1.5,3.8,5,2.5,0,0,0,6.8,9,4.5
