Player Name , Team ,rush_att ,rush_att High ,rush_att Low ,rush_yds ,rush_yds High ,rush_yds Low ,rush_tds ,rush_tds High ,rush_tds Low ,rec_att ,rec_att High ,rec_att Low ,rec_yds ,rec_yds High ,rec_yds Low ,rec_tds ,rec_tds High ,rec_tds Low ,fumbles ,fumbles High ,fumbles Low ,fpts ,fpts High ,fpts Low 
Jamaal Charles,KC,253.4,272,234,"1,294.20","1,344.00","1,194.00",9.6,11,7,67.3,73,64,599.1,688,525,4,5,3,2,3,1,266.9,293.2,250.7
LeSean McCoy,PHI,289.5,294,287,"1,450.90","1,541.00","1,402.00",10.1,11,9,43.3,53,34,384.9,461,298,2.5,3,2,2,2,2,255.2,280.2,238.8
Matt Forte,CHI,274.4,281,265,"1,271.80","1,352.00","1,220.00",8.1,9,7,67,70,62,543.4,576,508,2.9,4,2,2,2,2,243.5,264.8,230.5
Adrian Peterson,MIN,296,309,281,"1,378.70","1,458.00","1,277.00",11.1,13,10,41.1,43,38,274.1,289,216,1.5,2,1,2.5,3,2,235.9,255.4,218.6
Eddie Lacy,GB,274.2,288,252,"1,243.00","1,412.00","1,110.00",10.6,12,10,37.5,42,31,271.8,301,231,1,1,1,1,1,1,219.1,244.9,204.9
Arian Foster,HOU,268.9,289,220,"1,191.50","1,266.00","1,034.00",7.8,8,7,45.9,59,37,360.1,456,269,1.6,2,1,2,2,2,207.6,228.2,188.1
DeMarco Murray,DAL,228.7,242,206,"1,106.60","1,229.00",989,8.8,9,8,55.8,59,51,414.4,511,313,1,2,0,2,2,2,206.9,236,187
Montee Ball,DEN,247.5,266,217,"1,124.10","1,306.00",943,9.4,11,8,45.5,54,38,338.8,404,306,1.5,2,1,2.5,3,2,206.7,235.8,187.6
Marshawn Lynch,SEA,274.9,303,264,"1,223.40","1,285.00","1,170.00",10.1,12,9,26.8,33,20,214.5,279,160,1,1,1,2,3,1,206.4,234.4,191
Le'Veon Bell,PIT,267.8,281,257,"1,136.50","1,267.00","1,073.00",8.4,10,7,49.4,57,41,377.8,436,319,0.9,2,0,1,1,1,205.2,231.8,186.5
Giovani Bernard,CIN,230.4,252,210,"1,076.90","1,309.00",927,5.1,6,3,58.4,72,50,501.2,588,406,2.9,4,2,2.5,3,2,200.8,231.7,182.5
