name,team_abbreviation,receiving_completions,receiving_completions_high,receiving_completions_low,receiving_yards,receiving_yards_high,receiving_yards_low,receiving_touchdowns,receiving_touchdowns_high,receiving_touchdowns_low,fumbles,fumbles_high,fumbles_low,fantasy_points,fantasy_points_high,fantasy_points_low
Jimmy Graham,NO,87.7,92,84,"1,180.30","1,238.00","1,115.00",12.9,14,11,0,0,0,195.4,202.9,180.6
Julius Thomas,DEN,76.2,82,72,937.8,"1,003.00",895,10.9,12,10,0.5,1,0,158.2,164.3,155.5
Rob Gronkowski,NE,66.5,75,52,915.7,"1,023.00",737,9.2,11,8,0,0,0,146.8,161.4,121.7
Vernon Davis,SF,57.8,61,55,815.3,855,777,9.7,12,8,0.5,1,0,138.7,157,123.8
Jason Witten,DAL,76.7,83,68,850.9,922,744,6.5,7,6,0,0,0,124.1,129.3,110.4
Jordan Cameron,CLE,74.5,77,72,869.5,905,844,5.9,7,4,0.5,1,0,121.4,130.5,108.4
Dennis Pitta,BAL,64.5,66,63,759.8,808,685,6.8,8,6,0,0,0,116.8,128.8,104.5
Greg Olsen,CAR,72.9,78,70,839.7,854,814,5.5,6,5,0.5,1,0,116,120.1,113.4
Jordan Reed,WAS,64.8,68,61,762.8,795,689,6.5,7,6,0,0,0,115.3,120.5,104.9
Kyle Rudolph,MIN,61.5,70,55,688.7,745,576,7,8,6,0,0,0,110.9,114.7,105.6
Zach Ertz,PHI,52.9,56,48,709.8,766,611,5.6,7,4,0.5,1,0,103.6,116.2,88.6
Martellus Bennett,CHI,63.1,68,60,722.9,743,702,5,5,5,0.5,1,0,101.3,104.3,98.2
Heath Miller,PIT,62.8,66,60,682.2,733,632,5,6,2,1,2,0,96.2,105.3,75.2
Ladarius Green,SD,45.9,50,38,655.4,795,584,5.1,6,4,0,0,0,96.1,109.5,82.4
Antonio Gates,SD,62.8,70,54,700.7,768,604,4.5,5,4,0.5,1,0,96.1,106.8,84.4
Delanie Walker,TEN,58,61,55,610.1,636,587,5.6,6,5,0.5,1,0,93.6,96.4,89.8
Charles Clay,MIA,57.1,66,48,664.7,728,611,4.7,5,4,1,1,1,92.7,102.8,83.1
Eric Ebron,DET,45.5,52,33,584.9,676,476,5.6,7,3,0,0,0,92.1,109.6,66.5
Jared Cook,STL,48.5,53,47,582.1,644,537,4.4,6,3,1,1,1,82.6,94.2,71.7
Dwayne Allen,IND,43.5,55,35,530.3,613,411,4.9,6,3,0,0,0,82.4,91.3,59.1
Jace Amaro,NYJ,41.8,52,31,529.6,632,376,3.8,4,3,0,0,0,75.8,87.2,55.6
Garrett Graham,HOU,45.9,56,31,505.3,556,338,4.1,5,3,0,0,0,75.1,85.6,51.8
Tyler Eifert,CIN,41.7,51,31,508.7,614,391,3.8,4,3,0,0,0,73.7,85.4,63.1
Scott Chandler,BUF,45.3,57,40,514.3,622,439,3.6,4,2,1,1,1,71,86.2,55.9
Marcedes Lewis,JAC,39.3,48,36,451.6,510,368,3.7,5,2,0,0,0,67.4,75.3,48.8
Coby Fleener,IND,35.7,41,30,432.1,541,354,3.7,5,3,0,0,0,65.4,78.1,53.4
Brent Celek,PHI,36.6,44,30,446.9,522,355,3.5,5,2,0.5,1,0,64.7,78.6,47.5
Zach Miller,SEA,33.3,38,31,379.9,422,321,3.4,5,1,0,0,0,58.4,72.2,45
Jermaine Gresham,CIN,36.6,43,32,401.9,511,324,3.1,4,2,1.5,2,1,55.8,71.1,50.4
Travis Kelce,KC,33,46,18,390.5,514,267,2.5,4,1,0.5,1,0,53.1,73.4,32.7
Adrien Robinson,NYG,31.8,35,28,403.5,431,324,2.1,3,1,0,0,0,53,59.8,44.4
Mychal Rivera,OAK,32,44,0,356.1,510,0,2.8,4,0,0,0,0,52.4,75,0
Austin Seferian-Jenkins,TB,27.4,36,18,316.8,457,177,3.3,5,1,0,0,0,51.5,75.7,23.7
Owen Daniels,BAL,30.9,35,21,348.7,404,228,2.5,3,2,0,0,0,49.9,58.4,34.8
Robert Housler,ARI,31.5,54,13,351.6,576,156,2.4,4,2,0,0,0,49.6,81.6,27.6
Levine Toilolo,ATL,26.9,37,0,326.9,434,0,2.8,4,0,0,0,0,49.5,67.4,0
Brandon Bostick,GB,23.4,30,15,336.3,463,211,2.8,4,2,0.5,1,0,49.1,68.3,33.1
Tim Wright,TB,25,46,0,288.9,505,0,2.9,5,0,0,0,0,46.3,80.5,0
Andrew Quarless,GB,27,38,16,316.1,411,187,2.4,4,1,0,0,0,46,65.1,24.7
Jermichael Finley,FA,23.9,28,13.5,291,358,179,2.8,4,2,0,0,0,45.6,59.8,29.9
Brandon Pettigrew,DET,30.2,46,16,305.1,445,150,2.7,4,1,1,1,1,44.7,62.5,19
C.J. Fiedorowicz,HOU,22.3,29,17,278.3,395,191,2.6,3,2,0,0,0,43.6,57.5,31.1
Anthony Fasano,KC,25.1,35,0,257.6,378,0,2.5,4,0,0,0,0,40.8,56.8,0
Ryan Griffin,HOU,23.3,39,12,263.5,440,135,1.7,3,0,0,0,0,36.6,62,14
Luke Willson,SEA,18.1,27,0,236.5,377,0,1.9,3,0,0,0,0,35.1,55.7,0
Gavin Escobar,DAL,19.6,44,0,241.5,489,0,1.8,3,0,0,0,0,35,66.9,0
Jeff Cumberland,NYJ,21.1,38,0,254.1,466,0,1.5,3,0,0,0,0,34.4,64.6,0
Lance Kendricks,STL,21.5,28,0,240.5,312,0,1.6,2,0,0,0,0,33.7,43.2,0
Brandon Myers,TB,21.9,33,0,235.6,344,0,1.6,2,0,0,0,0,33.2,46.4,0
David Ausberry,OAK,19.6,35,12,237.3,415,143,1.5,3,1,0,0,0,32.7,59.5,20.3
Benjamin Watson,NO,19.6,26,12,215.4,275,126,1.6,2,1,0,0,0,31.3,39.5,18.6
John Carlson,ARI,20.4,33,0,207.7,340,0,1.7,4,0,0,0,0,31,58,0
Ed Dickson,CAR,21.8,38,0,233.5,411,0,1.2,2,0,0,0,0,30.6,53.1,0
Joseph Fauria,DET,13.4,25,0,157.9,311,0,2.2,4,0,0.5,1,0,28,55.1,0
Clay Harbor,JAC,17.2,28,0,189.1,311,0,1.1,2,0,0,0,0,25.5,43.1,0
Tony Moeaki,BUF,14.4,21,8,177.9,277,77,1.1,2,0,0,0,0,24.5,39.7,7.7
Michael Hoomanawanui,NE,14.9,18,11,174.5,191,151,1,1,1,0,0,0,23.5,25.1,21.1
Kellen Davis,NYG,12.5,23,6,132.9,254,52,1.3,2,1,0,0,0,20.8,37.4,11.2
Vance McDonald,SF,12.4,21,0,171.1,311,0,0.6,2,0,0,0,0,20.7,43.1,0
Logan Paulsen,WAS,13.8,23,0,153.6,255,0,0.8,1,0,0,0,0,20.2,31.5,0
Virgil Green,DEN,12,22,2,165.5,312,19,0.5,1,0,0,0,0,19.6,37.2,1.9
Cory Harkey,STL,12.5,17,8,121.5,171,72,1,1,1,0,0,0,18.2,23.1,13.2
Anthony McCoy,SEA,11.3,15,7.5,136.5,182,91,0.8,1,0.5,0,0,0,18.2,24.2,12.1
Rhett Ellison,MIN,13,16,10,150,194,106,0.5,1,0,0,0,0,18,25.4,10.6
Jim Dray,CLE,12.8,17,8.5,128.3,171,85.5,0.8,1,0.5,0,0,0,17.3,23.1,11.6
Dion Sims,MIA,9.8,14,0,125.6,181,0,0.8,1,0,0,0,0,17.1,24.1,0
Troy Niklas,ARI,10.2,22,0,134.4,311,0,0.6,1,0,0,0,0,17,37.1,0
Richard Rodgers,GB,10,20,0,107.5,215,0,1,2,0,0,0,0,16.8,33.5,0
James Hanna,DAL,13,17,9,137,177,97,0.5,1,0,0,0,0,16.7,17.7,15.7
Crockett Gillmore,BAL,9,12,6,115.5,154,77,0.8,1,0.5,0,0,0,16.1,21.4,10.7
Joel Dreessen,DEN,10.5,11,10,100.5,104,97,1,1,1,0,0,0,16.1,16.4,15.7
Bear Pascoe,ATL,13,15,11,128,155,101,0.5,1,0,0,0,0,15.8,21.5,10.1
Zach Sudfeld,NYJ,9,18,0,127.5,255,0,0.5,1,0,0,0,0,15.8,31.5,0
Jacob Tamme,DEN,10.9,18,0,115.3,187,0,0.7,2,0,0,0,0,15.7,26.6,0
Gary Barnidge,CLE,11.5,14,7,111.5,141,77,0.8,1,0,0,0,0,15.7,20.1,7.7
Arthur Lynch,MIA,9.5,12,7,111,133,89,0.5,1,0,0,0,0,14.1,19.3,8.9
Matt Spaeth,PIT,6.5,11,2,73,131,15,1,1,1,0,0,0,13.3,19.1,7.5
Jake Ballard,ARI,7.5,15,0,87.4,188,0,0.8,1,0,0,0,0,13.2,24.8,0
Josh Hill,FA,8.3,12,0,86.3,133,0,0.8,1,0,0,0,0,13.1,19.3,0
James Casey,PHI,9.3,15,4,108,165,42,0.4,1,0,0,0,0,13.1,22.5,4.2
Nick Kasa,OAK,8.5,17,0,93,186,0,0.5,1,0,0,0,0,12.3,24.6,0
Sean McGrath,KC,7.9,15,0,90.8,165,0,0.4,1,0,0,0,0,11.3,22.5,0
David Paulson,PIT,10.4,13,7,110.1,136,80,0,0,0,0,0,0,11,13.6,8
Larry Donnell,NYG,8,11,5,92.5,120,65,0,0,0,0,0,0,9.3,12,6.5
Michael Egnew,MIA,8.3,11,5.5,91.5,122,61,0,0,0,0,0,0,9.2,12.2,6.1
Fendi Onobun,CHI,6.5,7,6,89,103,75,0,0,0,0,0,0,8.9,10.3,7.5
Chase Ford,MIN,6.5,7,6,85,93,77,0,0,0,0,0,0,8.5,9.3,7.7
Chris Gragg,BUF,5.6,12,0,61.9,133,0,0.4,1,0,0,0,0,8.4,19.3,0
D.J. Williams,NE,5.8,8,5,60.5,95,42,0.3,1,0,0,0,0,7.6,15.5,4.2
Mickey Shuler,ATL,6.8,9,4.5,73.5,98,49,0,0,0,0,0,0,7.4,9.8,4.9
Gerell Robinson,DEN,6,8,4,72.8,97,48.5,0,0,0,0,0,0,7.3,9.7,4.9
Dante Rosario,CHI,4,5,3,42.5,57,28,0.5,1,0,0,0,0,7.3,11.7,2.8
John Phillips,SD,8,11,5,72.5,110,35,0,0,0,0,0,0,7.3,11,3.5
Craig Stevens,TEN,6.5,11,2,71,132,10,0,0,0,0,0,0,7.1,13.2,1
Weslye Saunders,IND,6,8,4,68.3,91,45.5,0,0,0,0,0,0,6.8,9.1,4.6
Taylor Thompson,TEN,6,9,0,67.9,94,0,0,0,0,0,0,0,6.8,9.4,0
Ryan Taylor,GB,5.5,6,5,67,68,66,0,0,0,0,0,0,6.7,6.8,6.6
Lee Smith,BUF,6.5,8,5,64.5,81,48,0,0,0,0,0,0,6.5,8.1,4.8
Garrett Celek,SF,5.3,7,3.5,58.5,78,39,0,0,0,0,0,0,5.9,7.8,3.9
Niles Paul,WAS,6,8,4,57,76,38,0,0,0,0,0,0,5.7,7.6,3.8
Allen Reisner,MIN,4.5,6,3,56.3,75,37.5,0,0,0,0,0,0,5.6,7.5,3.8
Kevin Brock,CIN,5,7,3,55.5,91,20,0,0,0,0,0,0,5.6,9.1,2
Michael Palmer,PIT,6,8,4,53.3,71,35.5,0,0,0,0,0,0,5.3,7.1,3.6
David Johnson,SD,5.3,7,3.5,50.3,67,33.5,0,0,0,0,0,0,5,6.7,3.4
Jack Doyle,IND,5,8,2,49.5,87,12,0,0,0,0,0,0,5,8.7,1.2
Konrad Reuland,FA,5,5,5,47,61,33,0,0,0,0,0,0,4.7,6.1,3.3
Luke Stocker,TB,3.5,7,0,43.5,87,0,0,0,0,0,0,0,4.4,8.7,0
MarQueis Gray,CLE,5.3,7,3.5,41.3,55,27.5,0,0,0,0,0,0,4.1,5.5,2.8
Matthew Mulligan,CHI,3.8,5,2.5,40.5,54,27,0,0,0,0,0,0,4.1,5.4,2.7
Darren Fells,ARI,3.8,5,2.5,40.5,54,27,0,0,0,0,0,0,4.1,5.4,2.7
Zach Miller,CHI,3,4,2,39.8,53,26.5,0,0,0,0,0,0,4,5.3,2.7
Mike McNeill,CAR,3,4,2,32.5,53,12,0,0,0,0,0,0,3.3,5.3,1.2
Andrew Szczerba,ATL,3,4,2,32.3,43,21.5,0,0,0,0,0,0,3.2,4.3,2.2
Brandon Barden,JAC,2.3,3,1.5,30.8,41,20.5,0,0,0,0,0,0,3.1,4.1,2.1
Daniel Fells,NYG,2.3,3,1.5,26.3,35,17.5,0,0,0,0,0,0,2.6,3.5,1.8
Emil Igwenagu,PHI,3,4,2,24.8,33,16.5,0,0,0,0,0,0,2.5,3.3,1.7
Richard Gordon,KC,2.3,3,1.5,23.3,31,15.5,0,0,0,0,0,0,2.3,3.1,1.6
Ted Bolser,WAS,2.3,3,1.5,12,16,8,0,0,0,0,0,0,1.2,1.6,0.8
Richie Brockel,CAR,2.3,3,1.5,10.5,14,7,0,0,0,0,0,0,1.1,1.4,0.7
