name,team_abbreviation,rush_attempts,rush_attempts_high,rush_attempts_low,rush_yards,rush_yards_high,rush_yards_low,rush_touchdowns,rush_touchdowns_high,rush_touchdowns_low,receiving_completions,receiving_completions_high,receiving_completions_low,receiving_yards,receiving_yards_high,receiving_yards_low,receiving_touchdowns,receiving_touchdowns_high,receiving_touchdowns_low,fumbles,fumbles_high,fumbles_low,fantasy_points,fantasy_points_high,fantasy_points_low
Calvin Johnson,DET,0,0,0,0,0,0,0,0,0,93.8,95,93,1578.60,1664,1477,12.1,13,11,1,1,1,228.5,238.4,213.7
Demaryius Thomas,DEN,0,0,0,0,0,0,0,0,0,94.8,97,93,1441.60,1466,1400,12.7,13,12,0.5,1,0,219.4,224.6,214
Julio Jones,ATL,4,7,1,35.5,52,19,0,0,0,92.6,100,82,1392.70,1523,1242,10.1,12,9,0.5,1,0,202.4,208.1,194.2
Dez Bryant,DAL,0.5,1,0,4,8,0,0,0,0,93.9,100,86,1314.00,1355,1226,11.4,12,11,1,1,1,198.2,205.5,194.6
A.J. Green,CIN,0,0,0,0,0,0,0,0,0,91.2,93,90,1315.20,1336,1288,10.5,11,10,0,0,0,194.5,199.6,190.7
Brandon Marshall,CHI,0,0,0,0,0,0,0,0,0,101.4,109,91,1264.10,1328,1174,10.7,12,10,0,0,0,190.6,198.8,177.4
Jordy Nelson,GB,0,0,0,0,0,0,0,0,0,80,82,78,1254.60,1286,1159,10.1,11,9,0.5,1,0,185.1,192,169.9
Alshon Jeffery,CHI,12.5,14,11,81,85,77,0.5,1,0,82.3,88,77,1276.50,1385,1197,8,8,8,1,2,0,184.8,190.9,169.6
Antonio Brown,PIT,6.5,8,5,40.5,47,34,0,0,0,102.3,109,95,1343.70,1435,1235,7.5,8,7,0.5,1,0,182.4,190.2,171.5
Randall Cobb,GB,8.5,10,7,94.5,123,66,0,0,0,86.5,94,79,1176.10,1233,1103,7.8,8,7,1,1,1,171.9,183.6,156.3
Vincent Jackson,TB,0.5,1,0,6,12,0,0,0,0,72.9,75,71,1190.70,1275,1078,7.8,9,7,0,0,0,166.5,172.7,160.9
Andre Johnson,HOU,0,0,0,0,0,0,0,0,0,92.6,104,81,1275.10,1367,1089,5.9,7,5,0,0,0,162.9,178.7,144.9
Larry Fitzgerald,ARI,1,2,0,5.5,11,0,0,0,0,85,88,81,1077.80,1151,1041,9,10,7,0,0,0,162.3,175.1,146.4
Michael Crabtree,SF,0.5,1,0,6,12,0,0,0,0,80.9,88,77,1139.10,1206,1043,7.7,9,6,1,1,1,158.7,168.5,141.5
Pierre Garcon,WAS,1,2,0,9.5,19,0,0,0,0,91.1,96,85,1193.80,1277,1120,6.1,7,5,0.5,1,0,155.9,169.7,142
Keenan Allen,SD,0,0,0,0,0,0,0,0,0,74.9,85,64,1077.40,1133,1009,8.3,9,8,1,1,1,155.5,160.9,152.5
