rank,display_name,position,team_abbreviation,bye_week,best_rank,worst_rank,average_rank,rank_standard_deviation,average_draft_position
1,Jamaal Charles,RB,KC,6,1,2,1.3,0.458257569,2
2,LeSean McCoy,RB,PHI,7,1,10,2.9,2.42693222,1
3,Calvin Johnson,WR,DET,9,2,6,3.75,0.993730346,5
4,Matt Forte,RB,CHI,9,2,10,3.85,1.739971264,4
5,Adrian Peterson,RB,MIN,10,2,15,5.75,2.861380786,3
6,Jimmy Graham,TE,NO,6,4,11,6.2,1.691153453,8
7,Demaryius Thomas,WR,DEN,4,4,10,7.05,1.321930407,7
8,Dez Bryant,WR,DAL,11,5,15,8.8,2.501999201,9
9,Eddie Lacy,RB,GB,9,6,17,11.35,2.725344015,6
10,DeMarco Murray,RB,DAL,11,5,23,12,4.135214626,13
11,Montee Ball,RB,DEN,4,3,23,13.75,5.584576976,11
12,A.J. Green,WR,CIN,4,7,28,13.95,4.914010582,10
13,Julio Jones,WR,ATL,9,7,26,14.1,4.7,15
14,Brandon Marshall,WR,CHI,9,8,23,15,3.577708764,12
15,Giovani Bernard,RB,CIN,4,8,26,15.5,4.421538194,19
16,Arian Foster,RB,HOU,10,5,39,15.6,6.628725368,17
17,Le'Veon Bell,RB,PIT,12,9,27,16.15,4.418993098,18
18,Marshawn Lynch,RB,SEA,4,9,26,17.55,4.329838334,16
19,Antonio Brown,WR,PIT,12,12,24,18.15,3.290516677,20
20,Alshon Jeffery,WR,CHI,9,11,26,21.4,3.786819246,23
21,Jordy Nelson,WR,GB,9,14,34,22.55,5.229483722,21
22,Andre Ellington,RB,ARI,4,15,43,23.2,6.88912186,28
23,Randall Cobb,WR,GB,9,18,34,26.95,4.259988263,24
24,Doug Martin,RB,TB,7,13,44,27.55,7.915017372,27
25,Zac Stacy,RB,STL,4,17,54,28.35,9.845176484,35
26,Reggie Bush,RB,DET,9,14,47,28.6,8.901685234,30
27,Andre Johnson,WR,HOU,10,19,44,29.5,6.989277502,39
28,Pierre Garcon,WR,WAS,10,19,42,30.1,5.223983155,31
29,Peyton Manning,QB,DEN,4,18,43,31.8,5.732364259,14
30,Rob Gronkowski,TE,NE,10,14,66,32.65,13.02027265,26
31,Julius Thomas,TE,DEN,4,25,64,34.25,8.413530769,29
