name,team_abbreviation,games_played,yards_0_to_19_made,yards_0_to_19_attempts,yards_0_to_19_percent,yards_20_to_29_made,yards_20_to_29_attempts,yards_20_to_29_percent,yards_30_to_39_made,yards_30_to_39_attempts,yards_30_to_39_percent,yards_40_to_49_made,yards_40_to_49_attempts,yards_40_to_49_percent,yards_50_made,yards_50_attempts,yards_50_percent,field_goals_made,field_goals_attempts,field_goals_percent,field_goals_long,extra_points,extra_points_attempts,extra_points_percent,points
Justin Tucker,BAL,16,0,0,nil,10,10,1,12,13,0.923076923,10,11,0.909090909,6,7,0.857142857,38,41,92.7,61,26,26,100,140
Stephen Gostkowski,NE,16,1,1,1,8,8,1,13,13,1,11,13,0.846153846,5,6,0.833333333,38,41,92.7,54,44,44,100,158
Adam Vinatieri,IND,15,0,0,nil,6,6,1,10,11,0.909090909,15,17,0.882352941,4,6,0.666666667,35,40,87.5,52,34,34,100,139
Nick Novak,SD,16,1,1,1,9,9,1,13,16,0.8125,9,9,1,2,2,1,34,37,91.9,50,42,42,100,144
Mason Crosby,GB,16,1,1,1,13,13,1,8,8,1,6,8,0.75,5,7,0.714285714,33,37,89.2,57,42,42,100,141
Dan Carpenter,BUF,16,0,0,nil,13,13,1,6,6,1,10,11,0.909090909,4,6,0.666666667,33,36,91.7,55,32,32,100,131
Steven Hauschka,SEA,16,0,0,nil,10,11,0.909090909,9,9,1,11,12,0.916666667,3,3,1,33,35,94.3,53,44,44,100,143
Nick Folk,NYJ,16,0,0,nil,8,8,1,10,11,0.909090909,12,14,0.857142857,3,3,1,33,36,91.7,54,27,27,100,126
Phil Dawson,SF,16,0,0,nil,12,13,0.923076923,6,6,1,10,11,0.909090909,4,6,0.666666667,32,36,88.9,56,44,44,100,140
Jay Feely,ARI,16,0,0,nil,9,11,0.818181818,7,8,0.875,11,12,0.916666667,3,5,0.6,30,36,83.3,52,37,37,100,127
Shaun Suisham,PIT,16,0,0,nil,9,9,1,13,15,0.866666667,8,8,1,0,0,nil,30,32,93.8,48,39,39,100,129
Dan Bailey,DAL,16,2,2,1,2,2,1,9,9,1,10,10,1,6,7,0.857142857,28,30,93.3,53,47,47,100,131
Randy Bullock,HOU,16,1,1,1,7,7,1,5,5,1,12,17,0.705882353,1,5,0.2,26,35,74.3,51,26,26,100,104
Robbie Gould,CHI,16,0,0,nil,11,11,1,6,7,0.857142857,6,7,0.857142857,3,4,0.75,26,29,89.7,58,45,46,97.8,123
Caleb Sturgis,MIA,16,1,1,1,4,4,1,10,12,0.833333333,8,10,0.8,3,7,0.428571429,26,34,76.5,54,33,33,100,111
Blair Walsh,MIN,16,0,0,nil,7,7,1,12,12,1,5,6,0.833333333,2,5,0.4,26,30,86.7,54,43,44,97.7,121
Greg Zuerlein,STL,16,0,0,nil,7,7,1,10,10,1,9,9,1,2,2,1,26,28,92.9,54,34,34,100,112
Rob Bironas,TEN,16,0,0,nil,10,10,1,9,9,1,5,7,0.714285714,2,3,0.666666667,25,29,86.2,55,41,41,100,116
Matt Prater,DEN,16,2,2,1,4,4,1,5,5,1,8,8,1,6,7,0.857142857,25,26,96.2,64,75,75,100,150
Graham Gano,CAR,16,0,0,nil,9,9,1,4,5,0.8,5,7,0.714285714,6,6,1,24,27,88.9,55,42,42,100,114
Matt Bryant,ATL,16,0,0,nil,9,9,1,7,8,0.875,,5-May,nil,3,5,0.6,24,27,88.9,53,39,39,100,111
Alex Henery,PHI,16,0,0,nil,8,8,1,7,8,0.875,6,10,0.6,1,2,0.5,23,28,82.1,51,45,45,100,114
Rian Lindell,TB,16,0,0,nil,3,3,1,12,14,0.857142857,4,6,0.666666667,4,6,0.666666667,23,29,79.3,54,31,31,100,100
Josh Brown,NYG,16,0,0,nil,8,8,1,7,8,0.875,7,8,0.875,1,2,0.5,23,26,88.5,52,31,31,100,100
Josh Scobee,JAC,16,0,0,nil,3,3,1,12,12,1,4,5,0.8,4,5,0.8,23,25,92,55,22,23,95.7,91
Garrett Hartley,NO,14,2,2,1,5,6,0.833333333,5,8,0.625,9,13,0.692307692,1,1,1,22,30,73.3,55,41,41,100,107
Ryan Succop,KC,16,0,0,nil,6,6,1,9,10,0.9,6,8,0.75,1,4,0.25,22,28,78.6,51,52,52,100,118
Sebastian Janikowski,OAK,16,0,0,nil,6,6,1,4,6,0.666666667,8,11,0.727272727,1,7,0.142857143,21,30,70,53,37,37,100,100
Billy Cundiff,CLE,16,0,0,nil,7,7,1,5,6,0.833333333,7,9,0.777777778,2,4,0.5,21,26,80.8,51,32,32,100,95
David Akers,DET,16,1,1,1,5,5,1,6,8,0.75,4,7,0.571428571,3,3,1,19,24,79.2,53,42,43,97.7,99
Kai Forbath,WAS,13,0,0,nil,3,4,0.75,10,10,1,4,6,0.666666667,1,2,0.5,18,22,81.8,50,26,26,100,80
Mike Nugent,CIN,16,0,0,nil,2,2,1,6,7,0.857142857,7,9,0.777777778,3,4,0.75,18,22,81.8,54,52,53,98.1,106
John Potter,WAS,3,0,0,nil,2,2,1,0,0,nil,1,1,1,0,1,0,3,4,75,43,7,7,100,16
Shayne Graham,NO,2,0,0,nil,1,1,1,0,0,nil,1,1,1,0,0,nil,2,2,100,40,7,7,100,13
