rank,name,team_abbreviation,position,rush_attempts,rush_yards,rush_yards_per_attempt,rush_touchdowns,receive_targets,receive_receptions,receive_completion_percent,receive_yards,receive_touchdowns,fumbles,fumbles_lost,fantasy_points
1,Jamaal Charles,KC,RB,259,1287,5,12,104,70,67.3,693,7,4,2,378
2,Matt Forte,CHI,RB,288,1341,4.7,9,95,75,78.9,592,3,2,2,338.3
3,LeSean McCoy,PHI,RB,314,1607,5.1,9,64,52,81.3,539,2,1,1,330.6
4,Knowshon Moreno,DEN,RB,241,1038,4.3,10,74,60,81.1,548,3,1,0,296.6
5,Marshawn Lynch,SEA,RB,301,1257,4.2,12,44,36,81.8,316,2,4,1,275.3
6,DeMarco Murray,DAL,RB,217,1124,5.2,9,66,53,80.3,350,1,3,1,258.4
7,Eddie Lacy,GB,RB,284,1178,4.1,11,44,35,79.5,257,0,1,1,242.5
8,Chris Johnson,TEN,RB,279,1077,3.9,6,52,42,80.8,345,4,3,2,240.2
9,Reggie Bush,DET,RB,223,1006,4.5,4,80,54,67.5,506,3,5,4,239.2
10,Fred Jackson,BUF,RB,207,896,4.3,9,65,46,70.8,375,1,3,0,233.1
11,Adrian Peterson,MIN,RB,279,1266,4.5,10,40,29,72.5,171,1,5,3,232.7
12,Danny Woodhead,SD,RB,106,429,4,2,87,76,87.4,605,6,2,2,223.4
13,Giovani Bernard,CIN,RB,170,695,4.1,5,71,56,78.9,514,3,1,1,222.9
14,Le'Veon Bell,PIT,RB,244,860,3.5,8,66,45,68.2,399,0,1,1,216.9
15,Joique Bell,DET,RB,166,650,3.9,8,69,53,76.8,547,0,4,3,216.7
16,Pierre Thomas,NO,RB,147,549,3.7,2,84,77,91.7,513,3,2,1,211.2
17,Ryan Mathews,SD,RB,285,1255,4.4,6,33,26,78.8,189,1,2,1,210.4
18,Frank Gore,SF,RB,276,1128,4.1,9,26,16,61.5,141,0,3,3,190.9
19,Maurice Jones-Drew,JAX,RB,234,803,3.4,5,60,43,71.7,314,0,1,1,187.02
20,Zac Stacy,STL,RB,250,973,3.9,7,35,26,74.3,141,1,1,1,183.4
21,Alfred Morris,WAS,RB,276,1275,4.6,7,12,9,75.0,78,0,5,4,178.3
22,Ray Rice,BAL,RB,214,660,3.1,4,73,58,79.5,321,0,2,2,178.1
