rank,name,team_abbreviation,position,receive_targets,receive_receptions,receive_completion_percent,receive_yards,receive_touchdowns,receive_long,receive_yards_per_target,receive_yards_per_reception,fumbles,fumbles_lost,fantasy_points
1,Demaryius Thomas,DEN,WR,142,92,64.8,1430,14,78,10.1,15.5,1,0,319
2,Josh Gordon,CLE,WR,159,87,54.7,1646,9,95,10.4,18.9,0,0,314.4
3,Antonio Brown,PIT,WR,166,110,66.3,1499,8,56,9,13.6,1,0,308.9
4,AJ Green,CIN,WR,178,98,55.1,1426,11,82,8,14.6,1,0,306.6
5,Brandon Marshall,CHI,WR,164,100,61,1295,12,44,7.9,13,0,0,305.5
6,Calvin Johnson,DET,WR,156,84,53.8,1492,12,87,9.6,17.8,1,1,303.2
7,Dez Bryant,DAL,WR,159,93,58.5,1233,13,79,7.8,13.3,3,1,292.4
8,Alshon Jeffery,CHI,WR,149,89,59.7,1421,7,80,9.5,16,3,1,283.6
9,Eric Decker,DEN,WR,136,87,64,1288,11,61,9.5,14.8,2,1,279.8
10,Andre Johnson,HOU,WR,181,109,60.2,1407,5,62,7.8,12.9,0,0,279.7
11,Pierre Garcon,WAS,WR,182,113,62.1,1346,5,53,7.4,11.9,1,1,277.5
12,DeSean Jackson,PHI,WR,126,82,65.1,1332,9,61,10.6,16.2,1,0,269.4
13,Jordy Nelson,GB,WR,127,85,66.9,1314,8,76,10.3,15.5,0,0,264.4
14,Julian Edelman,NE,WR,151,105,69.5,1056,6,44,7,10.1,6,0,251.7
15,Anquan Boldin,SF,WR,129,85,65.9,1179,7,63,9.1,13.9,0,0,246
16,Vincent Jackson,TB,WR,160,78,48.8,1224,7,60,7.6,15.7,1,0,242.4
17,Larry Fitzgerald,ARI,WR,135,82,60.7,954,10,75,7.1,11.6,1,1,236.2
18,TY Hilton,IND,WR,138,82,59.4,1083,5,73,7.8,13.2,1,0,220.9
19,Keenan Allen,SD,WR,104,71,68.3,1046,8,43,10.1,14.7,2,2,219.6
20,Kendall Wright,TEN,WR,139,94,67.6,1079,2,45,7.8,11.5,2,0,213.9
21,Wes Welker,DEN,WR,111,73,65.8,778,10,33,7,10.7,1,1,208.8
22,Torrey Smith,BAL,WR,137,65,47.4,1128,4,74,8.2,17.4,1,0,203.8
23,Brian Hartline,MIA,WR,134,76,56.7,1016,4,50,7.6,13.4,0,0,201.6
24,Harry Douglas,ATL,WR,132,85,64.4,1067,2,80,8.1,12.6,3,2,199.7
25,Marques Colston,NO,WR,111,75,67.6,943,5,35,8.5,12.6,0,0,199.3
26,Mike Wallace,MIA,WR,141,73,51.8,930,5,57,6.6,12.7,0,0,199.3
27,Michael Floyd,ARI,WR,111,65,58.6,1041,5,91,9.4,16,0,0,199.1
28,Victor Cruz,NYG,WR,122,73,59.8,998,4,70,8.2,13.7,1,1,194.8
29,Marvin Jones,CIN,WR,80,51,63.8,712,10,45,8.9,14,0,0,188.7
30,Golden Tate,SEA,WR,99,64,64.6,898,5,80,9.1,14,3,0,186.9
31,Riley Cooper,PHI,WR,83,47,56.6,833,8,63,10,17.7,0,0,184.1
32,Emmanuel Sanders,PIT,WR,112,67,59.8,740,6,55,6.6,11,1,0,181.5
33,Rod Streater,OAK,WR,99,60,60.6,888,4,66,9,14.8,1,1,172.5
34,Greg Jennings,MIN,WR,106,68,64.2,804,4,70,7.6,11.8,0,0,172.4
35,Nate Washington,TEN,WR,105,58,55.2,919,3,77,8.8,15.8,0,0,167.9
36,Jerricho Cotchery,PIT,WR,76,46,60.5,602,10,36,7.9,13.1,0,0,165.7
37,Steve Smith,CAR,WR,110,64,58.2,745,4,44,6.8,11.6,0,0,162.5
38,Cecil Shorts,JAX,WR,123,66,53.7,777,3,59,6.3,11.8,0,0,161.7
39,Doug Baldwin,SEA,WR,73,50,68.5,778,5,52,10.7,15.6,0,0,158.4
40,Eddie Royal,SD,WR,67,47,70.1,631,8,54,9.4,13.4,1,1,158.2
41,James Jones,GB,WR,93,59,63.4,817,3,83,8.8,13.8,2,1,156.7
42,Dwayne Bowe,KC,WR,103,57,55.3,673,5,34,6.5,11.8,0,0,154.3
43,Roddy White,ATL,WR,97,63,64.9,711,3,39,7.3,11.3,2,1,150.1
44,Cordarrelle Patterson,MIN,WR,77,45,58.4,469,4,79,6.1,10.4,0,0,149.7
45,Terrance Williams,DAL,WR,74,44,59.5,736,5,82,9.9,16.7,2,2,146
46,Hakeem Nicks,NYG,WR,101,56,55.4,896,0,57,8.9,16,0,0,145.6
47,Denarius Moore,OAK,WR,86,46,53.5,695,5,73,8.1,15.1,0,0,145.5
48,Marlon Brown,BAL,WR,82,49,59.8,524,7,59,6.4,10.7,0,0,145.2
49,Brandon LaFell,CAR,WR,85,49,57.6,627,5,79,7.4,12.8,1,0,143.2
50,DeAndre Hopkins,HOU,WR,91,52,57.1,802,2,66,8.8,15.4,1,1,142.2
51,Tim Wright,TB,WR,76,54,71.1,571,5,36,7.5,10.6,0,0,141.3
52,Jarrett Boykin,GB,WR,83,49,59,681,3,52,8.2,13.9,0,0,141.1
53,Rueben Randle,NYG,WR,78,41,52.6,611,6,37,7.8,14.9,3,1,136.1
54,Steve Johnson,BUF,WR,101,52,51.5,597,3,45,5.9,11.5,1,1,130.7
55,Danny Amendola,NE,WR,83,54,65.1,633,2,57,7.6,11.7,0,0,129.4
56,Kenny Stills,NO,WR,50,32,64,641,5,76,12.8,20,0,0,127.1
57,Jerome Simpson,MIN,WR,100,48,48,726,1,51,7.3,15.1,1,0,126.6
58,Tavon Austin,STL,WR,69,40,58,418,4,81,6.1,10.4,4,1,124.9
59,Ted Ginn,CAR,WR,68,36,52.9,556,5,47,8.2,15.4,0,0,124.5
60,Robert Woods,BUF,WR,85,40,47.1,587,3,57,6.9,14.7,0,0,120.3
61,Dexter McCluster,KC,WR,83,53,63.9,511,2,43,6.2,9.6,2,0,116.6
62,Jeremy Kerley,NYJ,WR,72,43,59.7,523,3,26,7.3,12.2,0,0,114.4
63,Aaron Dobson,NE,WR,72,37,51.4,519,4,81,7.2,14,1,0,112.9
64,Ace Sanders,JAX,WR,87,51,58.6,484,1,51,5.6,9.5,0,0,110.64
65,Donnie Avery,KC,WR,71,40,56.3,596,2,51,8.4,14.9,1,1,110.2
66,Julio Jones,ATL,WR,59,41,69.5,580,2,81,9.8,14.1,2,1,109.7
67,Randall Cobb,GB,WR,47,31,66,433,4,48,9.2,14,0,0,106.1
68,Mohamed Sanu,CIN,WR,77,47,61,455,2,32,5.9,9.7,1,1,105.1
69,Reggie Wayne,IND,WR,58,38,65.5,503,2,35,8.7,13.2,0,0,102.8
70,Kenbrell Thompkins,NE,WR,69,32,46.4,466,4,49,6.8,14.6,0,0,102.6
71,Andre Roberts,ARI,WR,76,43,56.6,471,2,34,6.2,11,0,0,102.1
72,Austin Pettis,STL,WR,63,38,60.3,399,4,31,6.3,10.5,1,0,101.9
73,Greg Little,CLE,WR,99,41,41.4,465,2,47,4.7,11.3,0,0,99.5
74,Rishard Matthews,MIA,WR,67,41,61.2,448,2,29,6.7,10.9,0,0,97.8
75,Santana Moss,WAS,WR,79,42,53.2,452,2,28,5.7,10.8,2,2,97.7
76,Kris Durham,DET,WR,85,38,44.7,490,2,40,5.8,12.9,1,1,97
77,Jacoby Jones,BAL,WR,67,37,55.2,455,2,66,6.8,12.3,0,0,94.5
78,Vincent Brown,SD,WR,69,41,59.4,472,1,51,6.8,11.5,0,0,94.2
79,Lance Moore,NO,WR,54,37,68.5,457,2,44,8.5,12.4,1,1,92.7
80,Tiquan Underwood,TB,WR,46,24,52.2,440,4,85,9.6,18.3,0,0,92
81,Jason Avant,PHI,WR,76,38,50,447,2,31,5.9,11.8,2,2,90.7
82,David Nelson,NYJ,WR,60,36,60,423,2,31,7,11.8,0,0,90.3
83,Nate Burleson,DET,WR,55,39,70.9,461,1,47,8.4,11.8,1,0,90.3
84,Davone Bess,CLE,WR,86,42,48.8,362,2,20,4.2,8.6,1,1,90.2
85,Chris Givens,STL,WR,83,34,41,569,0,47,6.9,16.7,1,1,89.7
86,Cole Beasley,DAL,WR,54,39,72.2,368,2,23,6.8,9.4,1,0,87.8
87,Jarius Wright,MIN,WR,43,26,60.5,434,3,42,10.1,16.7,0,0,87.4
88,Mike Brown,JAX,WR,56,32,57.1,446,2,43,8,13.9,2,1,86.6
89,Leonard Hankerson,WAS,WR,50,30,60,375,3,29,7.5,12.5,0,0,85.5
90,Jerrel Jernigan,NYG,WR,44,29,65.9,329,2,30,7.5,11.3,1,1,83.6
91,Earl Bennett,CHI,WR,43,32,74.4,243,4,17,5.7,7.6,0,0,82.3
92,Brandon Gibson,MIA,WR,43,30,69.8,326,3,46,7.6,10.9,0,0,80.6
93,Jermaine Kearse,SEA,WR,38,22,57.9,346,4,43,9.1,15.7,1,1,78.6
94,Justin Hunter,TEN,WR,42,18,42.9,354,4,57,8.4,19.7,0,0,77.4
95,Justin Blackmon,JAX,WR,48,29,60.4,415,1,67,8.6,14.3,0,0,76.4
96,Santonio Holmes,NYJ,WR,59,23,39,456,1,69,7.7,19.8,0,0,74.6
97,Andre Holmes,OAK,WR,52,25,48.1,431,1,40,8.3,17.2,0,0,74.1
98,TJ Graham,BUF,WR,58,23,39.7,361,2,47,6.2,15.7,1,1,70.5
99,Darrius Heyward-Bey,IND,WR,64,29,45.3,309,1,27,4.8,10.7,0,0,68.5
100,Aldrick Robinson,WAS,WR,46,18,39.1,365,2,62,7.9,20.3,0,0,66.1
101,Marquise Goodwin,BUF,WR,32,17,53.1,283,3,59,8.8,16.6,1,1,62.6
102,Stephen Hill,NYJ,WR,59,24,40.7,342,1,51,5.8,14.2,1,1,62.2
103,Griff Whalen,IND,WR,40,24,60,259,2,25,6.5,10.8,0,0,61.9
104,Robert Meachem,NO,WR,30,16,53.3,324,2,60,10.8,20.2,0,0,60.3
105,Brian Quick,STL,WR,35,18,51.4,302,2,73,8.6,16.8,0,0,60.2
106,Kevin Ogletree,TB,WR,45,21,46.7,269,2,43,6,12.8,0,0,59.9
107,Keshawn Martin,HOU,WR,40,22,55,253,2,32,6.3,11.5,2,1,57.3
108,Mike Williams,TB,WR,40,22,55,216,2,28,5.4,9.8,0,0,55.6
109,Andre Caldwell,DEN,WR,29,16,55.2,200,3,36,6.9,12.5,0,0,54.7
110,Sidney Rice,SEA,WR,35,15,42.9,231,3,31,6.6,15.4,1,1,54.1
111,Michael Crabtree,SF,WR,33,19,57.6,284,1,60,8.6,14.9,0,0,53.4
112,Kerry Taylor,JAX,WR,34,22,64.7,229,1,17,6.7,10.4,0,0,50.9
113,Stedman Bailey,STL,WR,25,17,68,226,0,28,9,13.3,0,0,48.9
114,Miles Austin,DAL,WR,49,24,49,244,0,20,5,10.2,0,0,48.4
115,Tandon Doss,BAL,WR,36,19,52.8,305,0,63,8.5,16.1,1,1,47.5
116,Darius Johnson,ATL,WR,43,22,51.2,210,1,17,4.9,9.5,1,1,47
117,Drew Davis,ATL,WR,17,12,70.6,216,2,59,12.7,18,0,0,45.6
118,Da'Rick Rogers,IND,WR,23,14,60.9,192,2,69,8.3,13.7,0,0,45.2
