position_draft_position,name,team_abbreviation,bye_week,overall_draft_position,position
1,Jimmy Graham,NO,6,8,TE
2,Rob Gronkowski,NE,10,26,TE
3,Julius Thomas,DEN,4,29,TE
4,Jordan Cameron,CLE,4,52,TE
5,Vernon Davis,SF,8,65,TE
6,Jason Witten,DAL,11,69,TE
7,Jordan Reed,WAS,10,79,TE
8,Greg Olsen,CAR,12,86,TE
9,Dennis Pitta,BAL,11,89,TE
10,Kyle Rudolph,MIN,10,96,TE
11,Zach Ertz,PHI,7,109,TE
12,Eric Ebron,DET,9,121,TE
13,Martellus Bennett,CHI,9,127,TE
14,Ladarius Green,SD,10,134,TE
15,Charles Clay,MIA,5,137,TE
16,Heath Miller,PIT,12,151,TE
17,Antonio Gates,SD,10,161,TE
18,Delanie Walker,TEN,9,165,TE
19,Dwayne Allen,IND,10,169,TE
20,Richard Rodgers,GB,9,188,TE
21,Garrett Graham,HOU,10,nil,TE
