position_draft_position,name,team_abbreviation,bye_week,overall_draft_position,position
1,Calvin Johnson,DET,9,5,WR
2,Demaryius Thomas,DEN,4,7,WR
3,Dez Bryant,DAL,11,9,WR
4,A.J. Green,CIN,4,10,WR
5,Brandon Marshall,CHI,9,12,WR
6,Julio Jones,ATL,9,15,WR
7,Antonio Brown,PIT,12,20,WR
8,Jordy Nelson,GB,9,21,WR
9,Alshon Jeffery,CHI,9,23,WR
10,Randall Cobb,GB,9,24,WR
11,Pierre Garcon,WAS,10,31,WR
12,Keenan Allen,SD,10,34,WR
13,Vincent Jackson,TB,7,37,WR
14,Victor Cruz,NYG,8,38,WR
15,Andre Johnson,HOU,10,39,WR
16,Wes Welker,DEN,4,40,WR
17,Roddy White,ATL,9,42,WR
18,Cordarrelle Patterson,MIN,10,43,WR
19,Larry Fitzgerald,ARI,4,44,WR
20,Percy Harvin,SEA,4,46,WR
21,Michael Crabtree,SF,8,47,WR
22,DeSean Jackson,WAS,10,50,WR
23,Michael Floyd,ARI,4,54,WR
24,Julian Edelman,NE,10,57,WR
25,Ty Hilton,IND,10,59,WR
26,Jeremy Maclin,PHI,7,61,WR
27,Kendall Wright,TEN,9,64,WR
28,Emmanuel Sanders,DEN,4,66,WR
29,Torrey Smith,BAL,11,68,WR
30,Mike Wallace,MIA,5,70,WR
31,Marques Colston,NO,6,75,WR
32,Golden Tate,DET,9,77,WR
33,Reggie Wayne,IND,10,80,WR
34,Terrance Williams,DAL,11,83,WR
35,Sammy Watkins,BUF,9,85,WR
36,Eric Decker,NYJ,11,88,WR
37,Brandin Cooks,NO,6,92,WR
38,Danny Amendola,NE,10,97,WR
39,Rueben Randle,NYG,8,100,WR
40,Cecil Shorts,JAC,11,101,WR
41,Dwayne Bowe,KC,6,102,WR
42,Riley Cooper,PHI,7,107,WR
43,Tavon Austin,STL,4,108,WR
44,DeAndre Hopkins,HOU,10,110,WR
45,Hakeem Nicks,IND,10,113,WR
46,Mike Evans,TB,7,117,WR
47,Anquan Boldin,SF,8,119,WR
48,Kenny Stills,NO,6,123,WR
49,Marvin Jones,CIN,4,124,WR
50,Jarrett Boykin,GB,9,128,WR
51,Kelvin Benjamin,CAR,12,129,WR
52,Jordan Matthews,PHI,7,135,WR
53,Aaron Dobson,NE,10,138,WR
54,Steve Smith,BAL,11,139,WR
55,James Jones,OAK,5,141,WR
56,Justin Hunter,TEN,9,144,WR
57,Markus Wheaton,PIT,12,145,WR
58,Greg Jennings,MIN,10,153,WR
59,Brian Hartline,MIA,5,155,WR
60,Andrew Hawkins,CLE,4,162,WR
61,Kenny Britt,STL,4,166,WR
62,Odell Beckham Jr.,NYG,8,171,WR
63,Malcom Floyd,SD,10,173,WR
64,Jerricho Cotchery,CAR,12,176,WR
65,Doug Baldwin,SEA,4,180,WR
66,Steve Johnson,SF,8,182,WR
67,Robert Woods,BUF,9,183,WR
68,Marqise Lee,JAC,11,185,WR
69,Josh Gordon,CLE,4,187,WR
70,Miles Austin,CLE,4,189,WR
71,Harry Douglas,ATL,9,190,WR
