name,team_abbreviation,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,rush_attempts,rush_yards,rush_touchdowns,fumbles,fantasy_points
Peyton Manning,DEN,637.6,431.8,5267.7,45.7,12.0,22.5,-2.6,0.0,3.0,363.2
Aaron Rodgers,GB,544.1,361.3,4548.0,37.4,8.1,49.6,216.6,2.0,2.0,345.0
Drew Brees,NO,643.0,429.1,5067.5,39.8,14.3,27.5,50.9,0.5,2.0,337.4
Colin Kaepernick,SF,470.6,287.1,3808.8,26.1,10.1,91.1,506.4,4.1,2.0,307.8
Matthew Stafford,DET,641.4,389.6,4792.0,33.7,16.7,31.5,81.9,1.2,2.5,303.5
Nick Foles,PHI,532.0,341.7,4361.6,29.4,12.2,63.4,240.2,2.1,3.0,298.3
Andrew Luck,IND,584.9,358.2,4241.0,25.8,10.7,61.3,316.7,3.3,3.0,296.9
Robert Griffin III,WAS,494.7,305.2,3819.6,23.6,12.3,98.3,541.6,4.0,2.0,296.7
Cam Newton,CAR,487.5,293.5,3629.3,21.6,14.6,111.0,585.2,6.3,2.5,293.7
Matt Ryan,ATL,631.3,418.2,4697.3,29.9,14.4,26.0,68.1,0.8,2.0,286.3
Tom Brady,NE,633.9,397.1,4538.6,30.6,11.7,26.0,27.5,1.1,3.0,283.9
Tony Romo,DAL,617.5,395.9,4496.5,31.2,15.7,23.8,41.9,0.5,2.5,275.5
Russell Wilson,SEA,436.2,274.8,3548.8,25.5,12.2,90.2,457.9,2.5,3.5,273.3
Jay Cutler,CHI,544.7,340.3,4036.6,29.9,14.3,31.9,160.7,1.0,3.0,268.5
Philip Rivers,SD,558.7,371.0,4476.1,29.1,14.2,27.7,52.7,0.0,3.5,265.3
Ben Roethlisberger,PIT,583.5,371.3,4240.8,28.4,13.9,28.0,90.5,1.0,3.5,263.5
Andy Dalton,CIN,530.5,327.9,3776.7,27.8,15.1,51.7,148.4,1.5,3.0,249.9
Ryan Tannehill,MIA,576.7,350.1,4063.2,22.8,16.5,48.5,239.1,1.3,3.5,245.4
Alex Smith,KC,530.7,319.9,3514.6,22.1,9.0,65.9,313.9,1.3,3.0,244.2
Carson Palmer,ARI,565.6,351.8,4288.1,28.4,19.7,19.1,12.8,0.0,3.5,240.0
Joe Flacco,BAL,564.1,341.4,3967.4,24.1,16.7,32.8,81.5,0.7,3.0,228.0
Sam Bradford,STL,549.6,332.3,3681.7,25.0,13.8,29.6,85.6,0.8,2.5,228.0
Eli Manning,NYG,546.3,333.4,3952.5,24.9,15.5,21.8,25.8,0.0,2.0,225.3
Josh McCown,TB,452.5,274.8,3373.1,22.6,12.6,27.4,108.9,1.3,2.0,214.8
E.J. Manuel,BUF,467.7,277.7,3105.1,17.0,13.9,82.4,320.9,1.9,3.5,200.9
Johnny Manziel,CLE,402.0,238.2,2908.8,15.9,13.9,78.7,369.2,3.0,4.0,199.1
Jake Locker,TEN,402.7,243.7,2872.5,16.1,11.3,44.7,268.3,1.6,2.5,188.1
Teddy Bridgewater,MIN,344.3,209.4,2516.9,15.8,9.4,39.2,153.0,1.4,2.0,164.8
Matt Schaub,OAK,464.3,275.0,3091.8,17.3,14.2,35.8,32.1,0.0,2.5,162.7
Ryan Fitzpatrick,HOU,390.2,238.1,2591.7,15.3,14.7,32.3,155.6,0.7,2.5,150.2
Michael Vick,NYJ,271.5,159.5,1973.8,11.8,8.7,49.5,316.4,2.1,3.5,146.0
Geno Smith,NYJ,264.8,159.6,1847.0,10.3,9.0,38.0,174.8,2.3,2.0,124.4
Blake Bortles,JAC,275.4,159.7,1897.2,10.5,8.5,25.0,78.4,1.1,2.0,111.3
Chad Henne,JAC,280.2,165.8,1851.8,10.8,9.7,14.0,40.0,0.0,1.5,98.9
Matt Cassel,MIN,181.2,109.6,1222.4,7.6,5.8,15.2,55.5,0.2,1.0,72.4
Tom Savage,HOU,177.0,101.6,1236.8,7.1,6.8,9.8,19.9,0.0,1.5,63.5
Brian Hoyer,CLE,136.5,80.9,911.3,6.5,5.1,14.3,35.4,0.0,1.5,52.8
Case Keenum,HOU,127.0,74.0,848.5,5.0,4.5,12.0,43.5,0.0,0.0,49.3
Derek Carr,OAK,126.8,78.0,857.8,4.5,4.8,8.0,21.7,0.0,2.0,40.9
Mike Glennon,TB,85.2,51.1,600.7,4.0,3.7,10.0,25.8,0.0,1.0,33.2
Charlie Whitehurst,TEN,89.1,53.0,564.1,3.8,2.8,10.9,40.9,0.0,1.5,33.2
Kirk Cousins,WAS,87.7,50.1,560.0,3.4,2.5,3.7,12.4,0.0,0.5,31.2
Shaun Hill,STL,55.0,33.7,380.2,3.1,1.9,4.0,12.5,0.0,0.5,24.1
Zach Mettenberger,TEN,71.7,41.8,479.3,3.5,4.3,5.0,5.2,0.0,0.8,23.5
Jordan Palmer,CHI,79.1,45.6,518.6,1.3,2.1,3.0,7.1,0.0,0.5,21.2
Terrelle Pryor,SEA,12.0,7.0,87.0,1.0,0.0,11.0,55.0,1.0,0.0,19.0
Bruce Gradkowski,PIT,48.5,28.0,297.0,2.0,2.0,3.5,13.5,0.0,0.0,17.2
Matt Flynn,GB,29.8,18.3,217.1,1.3,1.0,3.1,18.8,0.0,0.0,13.6
Brandon Weeden,DAL,42.1,25.0,293.8,1.2,1.3,1.0,2.0,0.0,0.5,13.2
Mark Sanchez,PHI,27.6,16.8,183.8,1.3,0.6,3.5,4.6,0.0,0.0,11.8
Josh Freeman,FA,24.2,14.0,161.5,1.0,0.3,3.3,11.0,0.0,0.0,10.9
Thaddeus Lewis,BUF,24.0,14.0,165.0,1.0,1.0,1.0,3.0,0.0,0.0,8.9
Derek Anderson,CAR,13.8,9.0,99.3,1.1,0.4,1.1,4.1,0.0,0.0,8.1
Blaine Gabbert,SF,13.6,8.6,99.0,0.8,0.0,1.9,3.4,0.0,0.0,7.3
Matt Moore,MIA,34.6,20.1,220.6,0.8,1.0,2.0,3.1,0.0,1.5,7.1
Chase Daniel,KC,21.0,12.5,138.5,0.5,0.5,2.5,3.0,0.0,0.0,6.8
Jason Campbell,CIN,24.6,13.9,170.5,0.3,0.6,0.6,1.8,0.0,0.0,6.7
Tyrod Taylor,BAL,9.5,6.0,57.0,0.0,0.0,5.5,34.0,0.0,0.0,5.7
Tarvaris Jackson,SEA,10.0,6.0,67.0,0.0,0.0,4.0,9.0,0.0,0.0,3.6
Brock Osweiler,DEN,10.5,6.3,72.5,0.0,0.0,1.3,0.3,0.0,0.0,2.9
Christian Ponder,MIN,10.0,5.0,55.0,0.0,0.0,3.0,0.0,0.0,0.0,2.2
Matt Hasselbeck,IND,8.0,4.5,51.5,0.0,0.0,1.0,0.0,0.0,0.0,2.1
Taylor Yates,ATL,3.0,2.0,22.0,0.0,0.0,1.0,2.0,0.0,0.0,1.1
Domanique Davis,ATL,6.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
Drew Stanton,ARI,2.5,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Ryan Mallett,NE,2.5,1.5,15.5,0.0,0.0,1.0,-1.5,0.0,0.0,0.5
Dan Orlovsky,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Bray,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Barkley,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt McCoy,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt McGloin,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Murray,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landry Jones,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Sorensen,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Thomas,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Nassib,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ McCarron,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
