position_rank,name,team_abbreviation
1,Jamaal Charles,KC
2,LeSean McCoy,PHI
3,Matt Forte,CHI
4,Adrian Peterson,MIN
5,Eddie Lacy,GB
6,DeMarco Murray,DAL
7,Montee Ball,DEN
8,Arian Foster,HOU
9,Giovani Bernard,CIN
10,Le'Veon Bell,PIT
11,Marshawn Lynch,SEA
12,Andre Ellington,ARI
13,Reggie Bush,DET
14,Doug Martin,TB
15,Zac Stacy,STL
16,C.J. Spiller,BUF
17,Shane Vereen,NE
18,Ryan Mathews,SD
19,Alfred Morris,WAS
20,Toby Gerhart,JAC
21,Rashad Jennings,NYG
22,Joique Bell,DET
23,Pierre Thomas,NO
24,Chris Johnson,NYJ
25,Ray Rice,BAL
26,Ben Tate,CLE
27,Bishop Sankey,TEN
28,Frank Gore,SF
29,Trent Richardson,IND
30,Lamar Miller,MIA
31,Danny Woodhead,SD
32,Steven Jackson,ATL
33,Darren Sproles,PHI
34,Stevan Ridley,NE
35,Fred Jackson,BUF
36,Maurice Jones-Drew,OAK
37,Bernard Pierce,BAL
38,Darren McFadden,OAK
39,DeAngelo Williams,CAR
40,Terrance West,CLE
41,Knowshon Moreno,MIA
42,Devonta Freeman,ATL
43,Jeremy Hill,CIN
44,Christopher Ivory,NYJ
45,Mark Ingram,NO
46,Jonathan Stewart,CAR
47,Christine Michael,SEA
48,Jacquizz Rodgers,ATL
49,Lance Dunbar,DAL
50,Ahmad Bradshaw,IND
51,Carlos Hyde,SF
52,Shonn Greene,TEN
53,Roy Helu,WAS
54,Khiry Robinson,NO
55,Bryce Brown,BUF
56,Charles Sims,TB
57,Dexter McCluster,TEN
58,David Wilson,NYG
59,Donald Brown,SD
60,Andre Brown,HOU
61,Knile Davis,KC
62,Mike Tolbert,CAR
63,C.J. Anderson,DEN
64,Tre Mason,STL
65,LeGarrette Blount,PIT
66,Marcel Reece,OAK
67,Latavius Murray,OAK
68,Bilal Powell,NYJ
69,Isaiah Crowell,CLE
70,James White,NE
71,Robert Turbin,SEA
72,James Starks,GB
73,Jordan Todman,JAC
74,Daniel Thomas,MIA
75,Stepfan Taylor,ARI
76,Andre Williams,NYG
77,Storm Johnson,JAC
78,BenJarvus Green-Ellis,CIN
79,Kendall Hunter,SF
80,Marcus Lattimore,SF
81,Ka'Deem Carey,CHI
82,Vick Ballard,IND
83,Jerick McKinnon,MIN
84,De'Anthony Thomas,KC
85,Bobby Rainey,TB
86,Dri Archer,PIT
87,Benny Cunningham,STL
88,Denard Robinson,JAC
89,Ronnie Hillman,DEN
90,Dion Lewis,CLE
91,Dennis Johnson,HOU
92,Travaris Cadet,NO
93,Chris Polk,PHI
94,Lache Seastrunk,WAS
95,Kenjon Barner,CAR
96,Jonathan Dwyer,ARI
97,Edwin Baker,CLE
98,Lorenzo Taliaferro,BAL
99,Brandon Bolden,NE
100,Mike James,TB
101,John Kuhn,GB
102,DuJuan Harris,GB
103,Theo Riddick,DET
104,Justin Forsett,BAL
105,Matt Asiata,MIN
106,Peyton Hillis,NYG
107,Joseph Randle,DAL
108,Michael Bush,FA
109,Daryl Richardson,NYJ
110,Ryan Williams,DAL
111,Mikel Leshoure,DET
112,Alfred Blue,HOU
113,Bruce Miller,SF
114,Anthony Sherman,KC
115,Stanley Havili,IND
116,LaMichael James,SF
117,Jed Collins,DET
118,Chris Ogbonnaya,CLE
119,Erik Lorig,NO
120,Anthony Dixon,BUF
121,Isaiah Pead,STL
122,Michael Ford,CHI
123,Cyrus Gray,KC
124,Patrick DiMarco,ATL
125,Frank Summers,BUF
126,Bradie Ewing,JAC
127,Marion Grice,SD
128,Dan Herron,IND
129,Henry Hynoski,NYG
130,Tommy Bohanon,NYJ
131,Cedric Peerman,CIN
132,Shaun Draughn,CHI
133,Mike Gillislee,MIA
134,Jerome Felton,MIN
135,Will Johnson,PIT
136,Spencer Ware,SEA
137,Zach Line,MIN
138,Jackie Battle,TEN
139,Jalen Parmele,ARI
140,Antone Smith,ATL
141,Kyle Juszczyk,BAL
142,Darrel Young,WAS
143,James Develin,NE
144,Jeff Demps,TB
145,Derrick Coleman,SEA
146,Collin Mooney,TEN
147,Tony Fiammetta,CHI
148,Jamize Olawale,OAK
149,Lonnie Pryor,TB
150,Jeremy Stewart,OAK
151,Tyler Gaffney,CAR
152,Brennen Clay,DEN
153,Damien Williams,MIA
154,Matthew Tucker,PHI
155,Alvester Alexander,PIT
156,Michael Hill,GB
157,Evan Royster,WAS
