position_rank,name,team_abbreviation
1,Calvin Johnson,DET
2,Demaryius Thomas,DEN
3,Dez Bryant,DAL
4,Julio Jones,ATL
5,Brandon Marshall,CHI
6,A.J. Green,CIN
7,Antonio Brown,PIT
8,Jordy Nelson,GB
9,Alshon Jeffery,CHI
10,Randall Cobb,GB
11,Andre Johnson,HOU
12,Pierre Garcon,WAS
13,Vincent Jackson,TB
14,Victor Cruz,NYG
15,Roddy White,ATL
16,Keenan Allen,SD
17,Wes Welker,DEN
18,Larry Fitzgerald,ARI
19,Michael Crabtree,SF
20,Michael Floyd,ARI
21,Kendall Wright,TEN
22,Torrey Smith,BAL
23,Cordarrelle Patterson,MIN
24,Julian Edelman,NE
25,Percy Harvin,SEA
26,Mike Wallace,MIA
27,Marques Colston,NO
28,DeSean Jackson,WAS
29,Ty Hilton,IND
30,Eric Decker,NYJ
31,Reggie Wayne,IND
32,Golden Tate,DET
33,Emmanuel Sanders,DEN
34,Dwayne Bowe,KC
35,Terrance Williams,DAL
36,Jeremy Maclin,PHI
37,Cecil Shorts,JAC
38,Rueben Randle,NYG
39,Sammy Watkins,BUF
40,Marvin Jones,CIN
41,DeAndre Hopkins,HOU
42,Brian Hartline,MIA
43,Riley Cooper,PHI
44,Mike Evans,TB
45,Anquan Boldin,SF
46,Greg Jennings,MIN
47,Tavon Austin,STL
48,Hakeem Nicks,IND
49,James Jones,OAK
50,Brandin Cooks,NO
51,Aaron Dobson,NE
52,Justin Hunter,TEN
53,Jarrett Boykin,GB
54,Doug Baldwin,SEA
55,Danny Amendola,NE
56,Kenny Stills,NO
57,Markus Wheaton,PIT
58,Kelvin Benjamin,CAR
59,Steve Smith,BAL
60,Robert Woods,BUF
61,Andrew Hawkins,CLE
62,Jordan Matthews,PHI
63,Rod Streater,OAK
64,Jerricho Cotchery,CAR
65,Steve Johnson,SF
66,Kenny Britt,STL
67,Marqise Lee,JAC
68,Harry Douglas,ATL
69,Odell Beckham Jr.,NYG
70,Josh Gordon,CLE
71,Cody Latimer,DEN
72,Malcom Floyd,SD
73,Lance Moore,PIT
74,Kenbrell Thompkins,NE
75,Justin Blackmon,JAC
76,Mike Williams,BUF
77,Marlon Brown,BAL
78,Chris Givens,STL
79,Nate Washington,TEN
80,Miles Austin,CLE
81,Brandon LaFell,NE
82,Denarius Moore,OAK
83,Davante Adams,GB
84,Jermaine Kearse,SEA
85,Jerrel Jernigan,NYG
86,Eddie Royal,SD
87,Dexter McCluster,TEN
88,Nate Burleson,CLE
89,Andre Holmes,OAK
90,Brandon Gibson,MIA
91,Andre Roberts,WAS
92,Donnie Avery,KC
93,Allen Robinson,JAC
94,Marquess Wilson,CHI
95,Da'Rick Rogers,IND
96,Charles Johnson,CLE
97,Martavis Bryant,PIT
98,Louis Murphy,TB
99,Jeremy Kerley,NYJ
100,Quinton Patton,SF
101,Jarvis Landry,MIA
102,Nick Toon,NO
103,John Brown,ARI
104,Cole Beasley,DAL
105,Mohamed Sanu,CIN
106,Stephen Hill,NYJ
107,Darrius Heyward-Bey,PIT
108,Santana Moss,WAS
109,David Nelson,NYJ
110,Ted Ginn Jr.,ARI
111,Robert Herron,TB
112,Sidney Rice,SEA
113,Jacoby Jones,BAL
114,Stedman Bailey,STL
115,Jason Avant,CAR
116,Jerome Simpson,MIN
117,Vincent Brown,SD
118,Marquise Goodwin,BUF
119,Ace Sanders,JAC
120,Jarius Wright,MIN
121,Donte Moncrief,IND
122,Brian Quick,STL
123,Tiquan Underwood,CAR
124,DeVier Posey,HOU
125,Jeff Janis,GB
126,Paul Richardson,SEA
127,A.J. Jenkins,KC
128,Greg Little,OAK
129,Devin Street,DAL
130,Danario Alexander,FA
131,Josh Huff,PHI
132,LaVon Brazill,IND
133,Bruce Ellington,SF
134,Josh Boyce,NE
135,Ryan Broyles,DET
136,Dwayne Harris,DAL
137,Austin Pettis,STL
138,Aldrick Robinson,WAS
139,Rishard Matthews,MIA
140,Junior Hemingway,KC
141,Jon Baldwin,SF
142,Brandon Lloyd,SF
143,Kris Durham,DET
144,T.J. Graham,BUF
145,Mike Thomas,HOU
146,Travis Benjamin,CLE
147,Andre Caldwell,DEN
148,Deonte Thompson,BAL
149,Shaquelle Evans,NYJ
150,Drew Davis,ATL
151,Jared Abbrederis,GB
152,Mario Manningham,NYG
153,Leonard Hankerson,WAS
154,Keshawn Martin,HOU
155,Josh Morgan,CHI
156,Marcus Easley,BUF
157,Michael Preston,TEN
158,Robert Meachem,NO
159,Dane Sanzenbacher,CIN
160,Eric Weems,CHI
161,Mike Brown,JAC
162,Isaiah Burse,DEN
163,Jalen Saunders,NYJ
164,Seyi Ajirotutu,SD
165,Kyle Williams,KC
166,TJ Jones,DET
167,Damaris Johnson,PHI
168,Jeremy Ross,DET
169,Tandon Doss,JAC
170,Joseph Morgan,NO
171,Griff Whalen,IND
172,Devin Hester,ATL
173,Brad Smith,PHI
174,Brice Butler,OAK
175,Jeff Maehl,PHI
176,Kevin Norwood,SEA
177,Adam Thielen,MIN
178,Marvin McNutt,CAR
179,Chris Owusu,TB
180,Brandon Tate,CIN
181,Walter Powell,ARI
182,Brittan Golden,ARI
183,Juron Criner,OAK
184,Alan Bonner,HOU
185,Trindon Holliday,NYG
186,Marcus Lucas,CAR
187,Marc Mariani,TEN
188,Derek Hagan,TEN
189,Lavelle Hawkins,TB
190,Chris Hogan,BUF
